,cid,votes,time,含grandma,含grandma中文翻译
40968,Ugzi-t0rFYIoYTjLW_B4AaABAg,0,4 years ago (edited),"5: 53 - she's scared but she just ran over to her grandma and quickly covers her grandma's ears while her grandma is smiling really brightly xd
that's so cute ahaha xd","5：53-她很害怕，但她只是跑到奶奶上，迅速遮住了奶奶的耳朵，而她的奶奶微笑着非常明亮的XD
真可爱的ahaha XD"
40806,Ugxn0HTUcwtptLrvQ8N4AaABAg,0,4 years ago,"it can be seen that you are a filial child. grandma is also a blessed person. i hope my grandmother is healthy, her life is 100 years old ...",看的出来你是个孝顺的孩子，奶奶也是个有福之人，希望奶奶身体健康，长命百岁……
46228,UgxQIsk0nlZBj_zZbpR4AaABAg,0,4 years ago,live ziqi you really should monitize your videos. you have a large following you would make good money for you grandma and your animals especially the puppies and the cute goat. awwwww,Live Ziqi您真的应该监视视频。您有很大的追随者，您会为您的奶奶和动物赚钱，尤其是幼犬和可爱的山羊。 awwwww
40479,UgzAXtHCW4V1WN2GmLl4AaABAg,0,4 years ago,her grandma is vet lucky,她的祖母很幸运
44726,UgzOsLvqn90sC_Xdj7F4AaABAg,0,4 years ago,i love how much she loves her grandma. 5:57,我爱她有多爱奶奶。 5:57
44633,UgwEiXzPW0TLi0_aaCx4AaABAg,0,4 years ago,so beautiful to watch. how confident is she with all that cooking. it's so lovely how all the pets are following her around. she's also so sweet to her grandma. it reminds me of how i was with my grandma when i was little.,如此美丽。她对所有烹饪有多自信。所有的宠物都在跟着她周围跟随她真是太可爱了。她对奶奶也很甜蜜。这让我想起了我小时候和奶奶的样子。
41950,UgzRi06CYafGmU31H1l4AaABAg,0,4 years ago,i miss my grandma.......,我想念我的奶奶.......
44361,Ugx-oOkp_hwrDwo1B-54AaABAg.8rDphxU72z78rEBmsj5X6L,0,4 years ago,"she was working in the city, because her hometown only had grandma at home and no one took care of it (parents have left the world). grandma is old and can't take care of herself. ping and beautiful video",她本就是在城市中工作，因为老家只有奶奶在家没人照顾（父母先后都离开了人世），奶奶年纪大了没办法自己照顾好自己，回家照顾奶奶晚年生活，不然你也看不到这么平和美好的视频
42410,UgwhBaf4-a3spfXmVuR4AaABAg,0,4 years ago,why grandma is not giving her a hand,为什么奶奶不给她一只手
42469,UgyGjE1RMWYhDq-1w3Z4AaABAg,0,4 years ago,sweetest little grandma ever!! ❤️❤️,有史以来最甜蜜的小奶奶！ ❤️❤️
42376,UgyVv_Eq9L041j4lkeN4AaABAg.8rg-mNnGuwW8riAT0QRG6H,0,4 years ago,"her earlier videos were not as good. she had a video showing how she made and edited her videos. now since she got more money, she has a couple helpers. that is it. her parents passed away and she was raised by her grandparents in rural china. she went to work in cities for some years but returned to take care of her grandma after her grandpa passed away.",她的早期视频不那么好。她有一个视频，展示了她如何制作和编辑视频。现在，由于她有更多的钱，她有几个助手。这就对了。她的父母去世了，她的祖父母在中国农村抚养长大。她在城市上班了几年，但在爷爷去世后返回以照顾祖母。
42578,UgzwmQZfMbKbxe_LPFR4AaABAg,0,4 years ago (edited),"good filial piety and cute son, he is afraid of being afraid, but meng is his grandma's ears. are you frightened? hehe",好孝顺好可爱的子柒，自己怕的要命，蒙的却是奶奶的耳朵。吓得跳了吧？呵呵
42829,UgyQ_PXUyiI5P9RjtS54AaABAg,0,4 years ago (edited),"luv the way u take care of ur grandma 
so sweet","爱你照顾你的祖母的方式
太甜了"
43156,Ugy070YcUUnupoi_Ofd4AaABAg,0,4 years ago,"the grandma is so cutee, she must be very lucky and happy to have you.",奶奶是如此的幽灵，她一定很幸运，很高兴有你。
43230,Ugw6btAjUrWOD2B6l1Z4AaABAg,0,4 years ago,her grandma is the cutest thing ever,她的祖母是有史以来最可爱的东西
43254,UgzwnZCYP96f_23Hcl94AaABAg,0,4 years ago,"i love when they're popping the corns and she's all frantic while grandma is just there, all smiles and chilling. lol they both so cute!",我喜欢当他们弹出玉米时，她都疯了，而奶奶就在那儿，所有人都笑着很寒意。大声笑他们俩都这么可爱！
43591,UgwbVUxVtd3d6Fo3P5x4AaABAg,0,4 years ago,"i hope my grandmother will always be healthy, and live happily with grandma",希望奶奶身体一直健康，要和奶奶幸福地生活下去哦
42054,UgwJVEe1ZCIE5XiL4hB4AaABAg,0,4 years ago,"lol 5:57 i love how she flinches, but her grandma doesn't move.",大声笑5:57我喜欢她如何退缩，但她的祖母没有动。
43742,UgzhoT3wABS8Vmcc4zZ4AaABAg,0,4 years ago,love you grandma and girl,爱你奶奶和女孩
43743,UgwvL2e4TxsQCBOwBnt4AaABAg,0,4 years ago,"where do you live?'s just amazing..... i loved everything location, food, fruits and grandma.... just send me some candies.....",你住在哪里？
43755,UgwKXvrkoe3XZbQKdV54AaABAg,0,4 years ago,you better not eat those fucking dogs. and no this comment isn't racist and don't talk to me about how americans eat chickens. foh americans also don't drag them behind trucks or put them in bags and beat the with bats while they're alive. eating all meat is pretty bad on our health but bitch u better not eat those dogs no matter what ur grandma wants for dinner,你最好不要吃那些他妈的狗。而且没有这种评论不是种族主义者，也不要和我谈论美国人如何吃鸡。 Foh American也不会将它们拖到卡车上，也不会将它们放入袋子里，并在还活着的时候用蝙蝠击败。吃所有肉在我们的健康状态下非常糟糕，但是bit子你最好不要吃那些狗，无论你奶奶想要什么吃晚饭
35451,UgzDv8E6UchWupBja4x4AaABAg,0,4 years ago,ah her grandma's laugh sounds so sweet,啊，她祖母的笑声听起来很甜蜜
41962,UgxQxQIcoDJqPNCKys54AaABAg,0,4 years ago,your grandma is so cute.,你奶奶真可爱。
44228,UgxRdSC0vOt5e41GiXF4AaABAg,0,4 years ago,@9:29 grandma's hat. lol. too cute!,@9：29奶奶的帽子。哈哈。太可爱了！
44315,UgwoxZ1i87qZjjoJ-nh4AaABAg,0,4 years ago,"this is a beautiful video.
you and grandma are wonderful people. thanks for letting me share your day.
greetings from canada.","这是一个美丽的视频。
你和奶奶是很棒的人。感谢您让我分享您的一天。
来自加拿大的问候。"
46293,Ugwfh4dm7x9-D7ROBCh4AaABAg,0,4 years ago,grandmas hat!!,奶奶帽子！
40403,UgydeOYX1Xd5wejEntd4AaABAg.8sMEIDfoSkB8sQsQJY3Dpm,0,4 years ago,"@islandfolk2283 she said that the scene was filmed at her home in her village. as you pointed out, the program is about food. she used ingredients such as freeze dried strawberries and marshmallows in one of her dish. i don't think the chinese had even seen them until a couple decades ago, even her grandma might have never heard of them. i still believe it is just a show. if you have even been to the villages in china, you will know how do they really look like, and what kinds of food they are eating. i really hope all mankind on earth would live like in the place like in the video describes and have plenty of food to eat, but sadly, in reality, it is far from it.",@Islandfolk2283她说，现场是在她村庄的家中拍摄的。正如您指出的那样，该计划是关于食物的。她在其中一道菜中使用了冻结干草莓和棉花糖等成分。我认为直到几十年前，中国人甚至都没有见过他们，甚至她的祖母也可能从未听说过。我仍然相信这只是一场演出。如果您甚至去过中国的村庄，您将知道它们的真实是如何，以及他们正在吃什么食物。我真的希望地球上的所有人类都会像视频描述并有很多食物可以吃的地方一样生活，但可悲的是，实际上，它离它很远。
46464,Ugx3xkI2JGadhTYqM0Z4AaABAg.8qtsXGZE2XC8rCqQuk3kPv,0,4 years ago,"@sunwukong2959 
she really lives there with her grandma.","@Sunwukong2959
她真的和祖母一起住在那里。"
47457,Ugw8MwqXYjN6gWLEIYl4AaABAg,0,4 years ago,"i have already seen this video in facebook, watching it again in youtube, can't get enough of her delicacies and the way she run to cover her grandma's ears",我已经在Facebook上看过这段视频，在YouTube上再次观看，无法获得足够的美食以及她的跑步方式来遮盖奶奶的耳朵
39307,UgyfVli9loXNYJZmCLp4AaABAg,0,4 years ago,hahah that's so cute when she's startled to jump. but then there's grandma remain calm๐,哈哈，当她吓了一跳时，真可爱。但是随后有奶奶保持冷静。
39303,Ugz81Te1iOiwciHvi3N4AaABAg,0,4 years ago,imagine tryna watch netflix and giving your grandma ptsd of hiroshima 6:00,想象一下Tryna Watch Netflix并给您的祖母PTSD 6:00
47478,UgyktNwMnXFrjl-Q1I14AaABAg,0,4 years ago,"your grandma is so cute, i like your life",你奶奶好可爱，我喜欢你的生活
39127,UgyEjmJoOnS67XcA32l4AaABAg,0,4 years ago,the way she covered her grandmas ears just to be safe from the loud noise from the popcorn machine and she chickened out just then.,她遮住祖母的耳朵的方式只是为了防止爆米花机的大声噪音，她就在那时就脱颖而出。
47607,UgwgzydsHM_WqD7TLO54AaABAg.8qoQVjHzTVO8yRk2fRnEET,0,3 years ago,"similarly, the moment when my grandma feeds the piglet is the most beautiful picture i have seen in my life.",一样，看到奶奶喂养小猪的时刻就是我人生看过最美的图片。
39045,UgxKldiVwuouOJ7k_ER4AaABAg,0,4 years ago,i really wonder how old her grandma is. think she is over 90,我真的很想知道她的祖母多大了。认为她超过90岁
47709,Ugy9EO8VShOgJiI0TuZ4AaABAg,0,4 years ago,"her grandma was so chill omygod. grandma didnt choose the thug lyf, thug lyf chose her",她的祖母真是个冷酷的Omygod。奶奶没有选择暴徒lyf，暴徒lyf选择了她
47725,Ugy9EO8VShOgJiI0TuZ4AaABAg.8qo7Y6AUhfz8qoNQOy_mTy,0,4 years ago,grandma is a veteran.,奶奶是一位老兵。
47762,UgwKyBScvYyFmFhtD2x4AaABAg,0,4 years ago,"hello! i like your videos very much. my grandma reminds me of me hard. you are beautiful. what kind of plant is this: you are using small leaves with small green berries with small leaves. add and other spices during the roasting process. what's going on here? tree height. walk over and use the boiler. thanks. hello, from russia.",您好！ 很喜欢你的视频。 我奶奶让我想起了我刻苦。 你很漂亮。 这是一个什么样的植物： 你在用小叶子的小枝绿色的小浆果。 和焙烧过程中添加与其他调料。 这是怎么了？ 树高。 走过去，用和锅炉。 谢谢。 你好来自俄罗斯。
47949,UgyS70w3x317pC4nGR14AaABAg,0,4 years ago,"wish you grandma and your family a year filled with great joy peace and prosperity, well done, keep doing this",祝您奶奶和您的家人一年充满欢乐的和平与繁荣，做得好，继续这样做
38845,UgzHjQ1aI3fV0CIpqLd4AaABAg,0,4 years ago,running to cover her grandma ears... omg. she threw away the corn and ran to her. so cute,跑步以遮住奶奶的耳朵...天哪。她扔掉玉米，跑向她。太可爱了
48240,Ugyrp47Ji9ioceQ-OPF4AaABAg,0,4 years ago,wow you know you are great taking care of your grandma,哇，你知道你很高兴照顾奶奶
38837,UgzGOxtCTRf3v7vCqjF4AaABAg,0,4 years ago,"touching yet sad video because she represents the thousands many girls in asia who will never find a family life of her own but stay behind to look after hard dying grandma who will not share a bread crumb with the cute starving pups! mind you given a chance, she will eat those puppies ๐•๐‘๐๐‘",令人感动而又悲伤的视频是因为她代表了亚洲的成千上万个女孩，她们永远找不到自己的家庭生活，而是留下来照顾垂死的奶奶，她不会与可爱的饥饿幼犬共享面包屑！介意你有机会，她会吃那些小狗
48295,UgyWO-K4v5ZxAtoK9uB4AaABAg,0,4 years ago,"ziyi helped grandma covering her ears, and she was frightened by herself. the grandmother was calm. so cute!",子柒帮奶奶捂住耳朵，自己被吓了一大跳，老奶奶镇定自若。太可爱了！
38825,UgxdM0G5Na5XAMUGERx4AaABAg,0,4 years ago,last while grandma having snacks puppy biting super,最后一个奶奶吃零食的小狗咬人超级
38475,UgzhSwb5OUFeUieQzZJ4AaABAg,0,4 years ago,grandma's hat ha ha ha ha ha ha ha ha hacped,奶奶的帽子哈哈哈哈哈哈可爱
38450,Ugw6VX6WzlIr6pAa93Z4AaABAg.8tXqTe4SQef8tyZGvDrijT,0,4 years ago,or any rural part of china. my grandma used to live in the mountains there.,或中国的任何农村地区。我的祖母曾经住在那里的山上。
39358,UgyoAybGdMGS1fXGH5p4AaABAg.8ss4jJHp9am8svLuk8Keyb,0,4 years ago,"hehe,it's hard to not agreed , she is beautiful indeed. but ur praises would be too much for her. she will rejected it rightaway, she was so down to earth as a living goddes, she lived in sichuan province with her grandma as a simply cute village girl and grand doughter , left behind her job as dj for grandma,start her own product and mark on taobao mall, lets see more her other videos on her channel ,so we'll gain comforts once get to know her",呵呵，很难不同意，她确实很漂亮。但是您的赞美对她来说太多了。她会拒绝它，她像一个活着的女神一样脚踏实地，她和祖母一起住在四川省，是一个简单可爱的乡村女孩和大doughter，留下了她作为DJ的工作，开始了自己的产品，开始了自己的产品和马克在淘ao购物中
39478,Ugw7gqC1aoOIJ756ruB4AaABAg,0,4 years ago (edited),9:50. that was so cute you love your grandma ๐ ๐,9:50。那太可爱了，你爱你的祖母
46482,UgznZcBxbXqbv3qqUCN4AaABAg,0,4 years ago,"love this ...was the cooking skills self taught or through school..omg shes amazing, she will get many blessings from grandma",爱这个...是自学或通过学校的烹饪技巧。
