,cid,votes,含grandma,含grandma中文翻译
3440,Ugwi0gfD6GKQrxUYKmR4AaABAg,0,grandma took liziqi's noodle but liziqi not allow her .... it's so funny ... it's so spicy grandma,奶奶拿了利兹奇的面条，但利兹奇不允许她....这真是太有趣了...太辣奶奶了
3369,UgzbrkxvUEPRQeCTWyV4AaABAg,0,i like your grandma liziqi,我喜欢你奶奶liziqi
12148,UgzghvWfX6wcuGqhlyB4AaABAg,0,your grandma must have good karma!,您的奶奶一定有很好的业障！
12199,Ugx_HK0RssnCWiRDKGZ4AaABAg,0,why she didn't gave her grandma a noodles?,为什么她没有给奶奶面条？
12209,Ugx_HK0RssnCWiRDKGZ4AaABAg.96xFI75SMPo970K4P43E93,0,cuz it's too spicy for grandma :),因为对于奶奶来说太辣:)
20453,UgxgbzLFvFixz58MZvR4AaABAg,0,"unfortunately, grandma is old and can't eat snail lion powder. seeing grandma like to eat",可惜奶奶年纪大了，不能吃螺狮粉。看奶奶很想吃的样子
21959,UgwubpDIAP0ERX2COUF4AaABAg,0,the view is so amazing in every video...the sound n everything is so relaxing..till now i have viewed all your videos.i don't like kitchen work but really after seeing you i feel an urge to go to the kitchen n cook something..i have come across many useless cooking videos on youtube but truly speaking yours the the best..your hardwork is clearly visible in these videos..n i admire you alot for the respect n love you have for your grandma,每个视频中的景色真是太神奇了...声音n一切都很放松。.现在我已经观看了您所有的视频。我不喜欢厨房的作品，但实际上见到您后，我感到渴望去厨房n煮东西..我在YouTube上遇到了许多无用的烹饪视频，但真正说出您的最佳。您在这些视频中清楚地看到了您的努力。您的位置，您的风格和生活..保持前进
21718,Ugzlj1KaZ8libzEuMxd4AaABAg,0,so glad grandma is well still,很高兴奶奶还不错
21660,UgwQSsEnqsiO_HYpojJ4AaABAg,0,why she didn't share the noodles to grandma',为什么她没有与奶奶分享面条
21659,Ugx1d0kVgNzdS6lHhzd4AaABAg,0,how old your grandma,你奶奶多大了
21624,UgyLhowC70_rQlmycu14AaABAg,0,"why you don't share your soup with your grandma?
namaste","为什么您不与祖母共享汤？
纳马斯特"
21261,Ugxp32wF8T3lxLB-bzF4AaABAg,0,lucky with such a granddaughter grandma,幸运的是一个孙女
20947,UgzME4xbq7ZBmyiNLix4AaABAg,0,love you cuty you are sooo talented girl i watched your many videos.today i searched your channel and found your videos i am so happy and love to your grandma,爱你可爱的你真是个才华横溢的女孩，我看过你的许多视频。
20882,Ugy-aJUiGFYAIQ-zdnh4AaABAg,0,"subtitle in english please ! i liked when you make your grandma laugh, very sweet of you.",请用英语字幕！当您让奶奶发笑时，我很喜欢您。
20865,Ugy5_1o2S80FUIQ4qj54AaABAg,0,"i love your grandma, is she alone with you? she is so cute",我爱你的祖母，她一个人和你在一起吗？她太可爱了
20440,Ugyyya9H7QTTedOaql14AaABAg.90sW5w5mbqW917BGC7CCIT,0,"i think her grandparents, especially her grandma, built and tended to that amazing garden. so yes, god's gift would be grandma's hard work and gardening talents",我认为她的祖父母，尤其是她的祖母，建造并倾向于那个惊人的花园。是的，上帝的礼物将是奶奶的辛勤工作和园艺才华
22468,Ugxi7e54IOvO8-hPOR14AaABAg,0,"omg, i wanted that bowl of noodles so bad. i think grandma did too.",天哪，我想要那碗面条这么糟。我认为奶奶也做了。
20218,UgxOKF6JIZsAw8bapox4AaABAg,0,she actually wore a regular modern shirt in this video.. so cute!! and i love her grandma so much!,她实际上在这段视频中穿了普通的现代衬衫..太可爱了！我非常爱她的祖母！
20121,UgwsFfSjyJtwf7sGGeh4AaABAg.919gPRUhD4C91I--GQijyx,0,"wouldn't you like your hard work to pay off? she is sharing and introducing dishes to us we should we might never have access to. 
i believe that taking care of her grandma, especially, she wants us to enjoy as much as she can while healthy.","您不想辛勤工作吗？她正在向我们分享并介绍我们应该无法获得的菜肴。
我相信，尤其是照顾她的祖母，她希望我们在健康时尽可能多地享受。"
19837,UgyLUYSa_JNljsnfaZp4AaABAg,0,in china，if one’s parents died in their early age，it is said that the seniorities will live longer than it will be，because they are imposed the life of their children by the go d.surely， her grandma will be well.,在中国，如果一个人的父母在他们的早期去世，则说这些高中的寿命将比它更长，因为他们被旅行施加了孩子的生命。
19747,UgxRUQddCX2wzSxZ_tF4AaABAg,0,grandma!! ❤️❤️❤️❤️,奶奶！！ ❤️❤️❤️❤️
19735,UgzKYmfFOfbaM8yQU3Z4AaABAg,0,ur so hard working lady god bless u and grandma,你是如此努力的女士上帝保佑你和奶奶
19667,Ugx71AYPvGVMAhM8AB54AaABAg,0,"thank you for sharing with us these lovely videos. may god bless you, continue to provide for you, and keep you & your grandma safe and healthy. remember that he loves you.",感谢您与我们分享这些可爱的视频。愿上帝保佑您，继续为您提供服务，并确保您和您的奶奶安全健康。记住他爱你。
19417,UgxIv7VSPei0FeZSvDh4AaABAg,0,ever gonna share with poor grandma?,曾经和可怜的祖母分享吗？
19383,UgwhsN_fbrCVALk_onF4AaABAg,0,envy grandma,羡慕奶奶
19122,UgwNc9g0gTIhaRZ0KIp4AaABAg,0,"i like eating bamboo shoots so much...but never taken it direct from its growing place...so fresh! 


it's the first time i see the grandma relaxing herself by sitting on the swing...","我非常喜欢吃竹芽……但是从来没有直接从它的成长中拿走它……好新鲜！


这是我第一次看到祖母坐在秋千上放松自己..."
22370,UgyjC6H0ohYjXZscI3N4AaABAg,0,she works hard and grandma be eating good,她努力工作，奶奶吃得很好
22484,UgyJdztwjsnoYS8utbd4AaABAg,0,grandma is so blessed,奶奶好福气啊
18872,UgwA3RrdTg91cPSSTBd4AaABAg,0,grandma also marinated beans when she was a kid,小时候奶奶也腌豆角
23417,UgyKbo53ewRALP7p2up4AaABAg,0,"i'd like to know what monsters disliked this?
was it some sort of idiot vegan greenies that felt sad for a water snail or something?
seriously, thiese vids are nothing short of magical, and those that live like this are destined to have long and healthy lives.
grandma is probably 110 or something insane. she must feel like the luckiest woman on the planet to have someone so skilled looking after her.
such an idyllic lifestyle!
i love this videos more than you'd believe!
i'm gonna be so sad the day that the vid just shows the young girl.....know what i mean?","我想知道什么怪物不喜欢这个？
是某种白痴纯素食绿色的蜗牛或其他东西感到难过吗？
认真地说，Thiese Vids无非是神奇的，那些像这样生活的人注定要有长期健康的生活。
奶奶大概是110岁，也可能是疯狂的。她必须觉得自己是地球上最幸运的女人，才能让某人如此熟练地照顾她。
这样的田园诗般的生活方式！
我比您相信的更喜欢这段视频！
我会很难过的那一天，以至于vid只是向年轻女孩展示.....知道我的意思吗？"
24049,UgyZkDEPUjL9nIbRs2p4AaABAg,0,grandma your lucky with delicious foods lol,奶奶你的幸运美味的食物大声笑
23854,UgweiFI387xp1GJHMPV4AaABAg,0,"watching here in the philippines, hi to here grandma",在菲律宾观看，在这里嗨，祖母
23785,Ugxdsfi_6nftXlrMmrZ4AaABAg,0,that the way was like my grandma cooked,那方式就像我奶奶煮过的
23748,UgxQRTCyYWqGN3HYly94AaABAg,0,it’s so good to see a woman taking care of business. can you imagine if our american women worked like that. it won’t happen though because they’re too busy laying around on their fat asses getting tattoos and watching the view and spending money that some man worked for. look how cute the young woman in this video is. i’ll bet she’s not mouthy like these american women either. the back of her legs don’t look somebody hit them with a bag full of nickles either. i saw a recent video of her wearing shorts. i need to find me a woman like her someday. what a treasure. i’d be glad to leave her my 60 acre farm and everything i own when i died. she certainly would have earned it. have you noticed that even grandma at her age isn’t the size of a cow like our american women? women that get out bed before noon and then work usually don’t get fat and sloppy.,看到一个女人照顾生意真是太好了。您能想象我们的美国女性是否这样工作。不过，这不会发生，因为他们太忙于躺在胖子上纹身，​​看着某个男人工作的景色和花钱。看看这个视频中的年轻女子有多可爱。我敢打赌，她也不像这些美国女性那样嘴。她的腿后部看上去并不是有人用一个装满昵称的袋子击中了他们。我最近看了她穿着短裤的视频。我有一天需要找到一个像她这样的女人。多么宝贵。我很高兴把我60英亩的农场和我死后拥有的一切都留给她。她当然会赢得它。您是否注意到，即使在她这个年龄段的奶奶也不是像我们的美国女性那样的牛的大小？中午之前出门睡觉的女性通常不会变得胖和草率。
23717,UgxjttBSIYypCvQC8M94AaABAg,0,i was so happy to see grandma's joyful laughter. you are awesome! intersection intersection,看到奶奶欢乐的笑声我就好开心。你真棒！！！
23600,Ugxq4UmrNPqpAfw6jup4AaABAg.8zf8Wd9JAXL8zf8g-zer29,0,"it's not as good as you, i just want to learn art simply, take care of the old grandma",做饭不如你，我就想单纯的拜师学艺，照顾老奶奶
23554,Ugyork5w5HM7IuH-94J4AaABAg,0,hi i love your house and all your cooking and mama or grandma,嗨，我爱你的房子，你所有的烹饪，妈妈或奶奶
23479,UgyLEBnzg4av1bQIMyB4AaABAg,0,could we not see your grandma anymore please.,我们能再见到你的奶奶吗？
23422,UgykplFDlOCFOkBtjdR4AaABAg,0,"at the last part of this video, she said to her grandmother that the noodles is spicy when her grandma want to taste some",在这段视频的最后一部分中，她对祖母说，当她的祖母想品尝一些
23365,UgyDIVdJwEdQtWK7if14AaABAg,0,i'm a new subscriber.. you amazing. i wish i can be a guest at your home and have a meal with you and grandma.,我是一个新的订户..你很棒。我希望我可以在您家中成为客人，并与您和奶奶一起吃饭。
22696,UgwcajtoDMpROjIF1Jh4AaABAg,0,"thats a lot of food fir an tiny gurl and grandma
god bless their garden!! they have all kind of vegetables and fruits there","多数民众赞成在很多食物中，小家伙和奶奶...
上帝保佑他们的花园！他们那里有各种蔬菜和水果"
23361,UgxzfenpfBgVzfQXTJ14AaABAg,0,grandma so lucky. the food is always so yummy.,奶奶很幸运。食物总是很美味。
23308,UgxbVjr4YIw8f9BvbZd4AaABAg,0,your grandma is very lucky to have you..,你的祖母很幸运有你。
23228,UgwOIQufr4nrU5-degZ4AaABAg,0,"you're reminding me of my childhood, i use to follow my grandma into the wood on the mountain, that's close to our house picked up bamboos, and fishing with my grandpa to make curry with it, it's called แกงกะทิปลาช่อน ใส่หน่อไม้ for those whos love thai food as well, it's hard to find in the restaurant, love you. from thailand",您让我想起了我的童年，我曾经跟随祖母进入山上的木头，靠近我们房子的竹子，和我的爷爷一起钓鱼，用它钓鱼，它被称为แกงแกงใส่ไม้ไม้对于那些也喜欢泰国美食的人来说，很难在餐厅里找到，爱你。来自泰国
23150,UgyGGjXXLs_JgJ0DpQB4AaABAg,0,woooow! can i come have dinner with you and grandma????,哇！我可以和你和奶奶一起吃晚饭吗？？？？
22964,UgxtNBf02Adf6PLvTtN4AaABAg,0,"at 1:14, ziqi: grandma(pó po) look, this bamboo shoot is bigger than my head..haha so cute",在1:14，Ziqi：奶奶（pópo）看，这张竹芽比我的头大..哈哈太可爱了
22911,UgzOLLMD6QgWJaHNL8p4AaABAg,0,"kitchen skills are better than ""wildfood brother"", i guess more to learn old grandma",厨艺比“野食小哥”好，估计学老奶奶的多
22854,UgykTV3T-pA-mR_0QIt4AaABAg,0,she and chef ramsey need to have a competition on who makes the best food. this woman always looks like she's making enough food for an army but just her and grandma eat. o.o,她和厨师拉姆齐需要就谁做最好的食物进行竞争。这个女人看起来总是像她为军队做足够的食物，但她和奶奶吃了。 O.O
22815,UgxJkuFvQ6eCrz_byB94AaABAg,0,"i come for the amazing skills, but stay to see the super cute grandma",我来争取出色的技能，但请留下来看看超级可爱的奶奶
22735,UgzgyzzNLtJpeefI3Xx4AaABAg,0,that grandma is so lucky.,那个奶奶很幸运。
18878,UgyZLQiQ8P1hl_BvTDF4AaABAg,0,grandma is so happy,奶奶好幸福呀
18680,UgzKCrj6p6U9fk_po9B4AaABAg,0,"when i was a kid, my grandma often made sour beans and sour bamboo shoots. unfortunately, grandma has left for 20 years. mom has also left for 7 years. i can’t find a familiar taste anymore",小时候我奶奶也经常做酸豇豆，酸笋。可惜奶奶离开二十年了。妈妈也离开7年了。再也找不到熟悉的味道
12394,UgzhnHM5K28VZhPN5RV4AaABAg,0,everytime i watch her eating with her grandma.. i feel hungry☺. u such a wonderful lady laziqi..,每当我看着她和奶奶一起吃饭时。我感到饿了。你真是一个很棒的夫人laziqi ..
13829,Ugx28oIUMz9NxlYOY5l4AaABAg,0,absolutely splendid. you work so hard god-bless you and grandma.,绝对出色。你工作如此努力，上帝和祖母。
14688,UgxhDmqCrB2mUy3Rq3Z4AaABAg,0,wonderful videos very cute her and grandma..,精彩的视频非常可爱她和奶奶。
14635,UgxxWBz1kMp66nYIz-h4AaABAg.944lnZoE4bt94AMkqpIczA,0,"hi laobu, ziyi, in the highest value of all human beings, has reached the top of the top: filial piety, intelligent, hardworking, good learning, dedication, neighborhood, constant, benefit from the poor to repay the society ... who can't get used to her and stepping on her, i dismissed counterattack. ms. li has the lftiest virtues of us human kind: filial piety toward grandma, brilliant, diligent, eager to learn, ultra-dedicated, neighbourly caring, p. erseverant and donate money to help the underprivileged .... as they are not word any efforts.","Hi Laobu, 子柒在全人类最高价值中，达到不能再高的绝顶：孝亲，聪慧，勤劳，好学，笃敬业，睦邻，有恒，施惠于穷苦报答社会....谁看不惯她而踩她，我不屑反击。 Ms. Li has the loftiest virtues of us human kind: filial piety toward grandma, brilliant, diligent, eager to learn, ultra-dedicated, neighbourly caring, perseverant and donate money to help the underprivileged....I do not refute those attackers as they are not worth any efforts. My family praises her from north America."
14591,UgxXAM70JJ02rs17e9F4AaABAg,0,"the video is good. cooking first -class 't want to say more. two words.
perfect. bless. grandma is healthy. bleak","视频不错。做菜一流
完美。祝福。奶奶健健康康的。"
14434,Ugzmc0B8o9ur4Y1QRod4AaABAg.94CWh5dBXqR95V0uxJTc1a,0,"@ygelementdgentertainment7525 you give off spare coochie please vibes, dont categorize her as a fucking housewife (nothing against them) but she obviously is doing this for herself and her grandma not some sad tiny dick man, also not every woman who does shit like this does it to please any man welcome to the real world sweetie",@ygelementdgentertainment7525您散发出备用的库奇，请共鸣，不要将她归类为一个他妈的家庭主妇（没有反对他们），但她显然是为自己和她的祖母而不是一个悲伤的小家伙，也不是每个这样的女人，也不是这样。它取悦任何人欢迎来到现实世界的甜心
14329,UgwegcBgrD6LYSFPGkB4AaABAg,0,"it looks delicious, and the people who eat are satisfied with the people who watch. grandma should eat some light stomachs to the elderly.",看起来好好吃，吃的人满足看的人开心。祖母应该吃些清淡的对老人家的肠胃很好。
14319,UgzhVuaRkU5bn9S35pp4AaABAg,0,"grandma likes the noodles, why not share?",奶奶喜欢面条，为什么不分享呢？
14098,UgzcxKn2cl2Q0BsPLtN4AaABAg,0,"i love you and the grandma, this was relaxing and satisfying lol",我爱你和奶奶，这是放松而令人满意的哈哈
13939,UgwoffUYPtoa93fwLNJ4AaABAg,0,how come sometimes we don’t see your grandma she’s so pretty,有时候我们怎么看不到你的祖母这么漂亮
13861,UgyAC61l5lapTRh9zGN4AaABAg,0,"it's so real, especially with a large iron pot with a cloth, i only saw my grandma doing this",太真实了，特别是用布擦大铁锅那个，我只看到我奶奶这么做过
13823,UgzkjUQeqB5HuollkgF4AaABAg,0,is her grandma's teeth still good? becaude my grandma would not beu eat food that is hard to chew. is her mother -in -law? because my grandma can't eat such a hard thing. i hold that they are healthy for a long time.,Is her grandma's teeth still good? Because my grandma would not be able to eat food that is hard to chew. 她婆婆的呀还好吗？ 因为我奶奶不可能吃这么hard 的东西了。I hope that they are healthy for a long time.
14806,UgyfZq9dpNOqRVwFa5R4AaABAg,0,i genuinely believe it is via her grandma she has acquired all these skills and knowledge.,我真的相信这是通过她的祖母获得了所有这些技能和知识。
13542,UgxHY0x9a04E7LkV5Wh4AaABAg,0,grandma's laugh is the best,奶奶的笑是最好的
13418,UgztkoLJwqXBeChDgmB4AaABAg,0,"i hate that y'all label her as a housewife, like sure i get she can do many things for her grandma and herself but just the meaning behind housewife is so annoying, how dare you disrespect queen liziqi like that, she's obviously an independent woman who even does so called ""man work"" no housewife here, just and independent woman who happens to know many things and cares for her grandma",我讨厌你们把她标记为家庭主妇，就像我确定的那样，她可以为奶奶和她做很多事情，但是只是家庭主妇背后的含义真是太烦人了，你多么敢于不尊重皇后liziqi，她显然是一个独立的女人甚至在这里做“男人工作”的人，在这里没有家庭主妇，正义和独立的女人恰好知道许多事情和照顾她的祖母
13333,UgwUPybFO22N0T7AThd4AaABAg,0,why is the grandma not getting the delicious soupy dish? is she not hungry?,为什么奶奶没有得到美味的汤？她不饿吗？
13281,Ugxh8673BbZsQWq46XF4AaABAg,0,"i like these videos too.. good to see grandma, be happy...",我也喜欢这些视频..很高兴见到奶奶，快乐...
13278,UgwCtf9H2g5zHVJKHp54AaABAg,0,love her grandma ❤️❤️❤️❤️❤️❤️❤️,爱她的祖母❤️❤️❤️
13238,UgzU72j7-vIbdmjoYsZ4AaABAg,0,this reminds me of the stove of grandma's house when i was a kid,这让我想起了，小时候奶奶家的灶台
12994,UgzZAiWYZOrLbOjjBjZ4AaABAg,0,the grandma must be very greatful to have her,奶奶一定很高兴有她的
12817,UgwgthNxUw4b0las0Ep4AaABAg,0,"as a native of guangxi, such a native snail powder has been very jealous. can grandma eat so spicy?",身为广西人都没吃过这么原生的螺蛳粉，表示非常嫉妒。另，奶奶能吃这么辣么
12699,UgwwOAuAZMfSqTb7hEp4AaABAg,0,she and her grandma eats a lot..,她和她的奶奶吃了很多。
14772,UgxNTE-GIqIFVEfiLuR4AaABAg,0,"grandma suspected of abandoning snails and smelly, so i do n’t help the zi 柒 burn fire ♡ ̑̑ ̑̑ ̑̑ ̑̑ ̑̑ (ٛ˃̶ ω ˂̶ ٛ ฅ ฅ) i guess",奶奶嫌弃螺蛳粉臭不吃，所以不帮子柒烧火♡ ̑̑ฅ(ٛ˃̶˙ω˙˂̶ٛฅ)我瞎猜的
15009,Ugwkryw_UnLqX1GVswN4AaABAg,0,that grandma must be the luckiest in the world.,那个奶奶一定是世界上最幸运的。
18267,UgwYi_h5vXUb3-4Fj-V4AaABAg,0,first time at her channel. i feel like she’s from the city and moved back home to accompany her grandma. and she might as well start making videos since she has time and can educate people of life in the countryside. no wonder netflix came out with “flavorful origins” this channel proves there’s a market for those types of shows.,第一次在她的频道。我觉得她来自城市，回到家陪伴祖母。而且她不妨开始制作视频，因为她有时间，可以教育乡村生活的人们。难怪Netflix以“美味起源”出现，该频道证明了这些类型的节目有一个市场。
16230,UgzAaAML9y3kP2s-h5J4AaABAg,0,"what have i discovered, a crazy new place called hell on earth, really meaning heaven on earth.



this ladie, really knows how to live her life and take care of her grandma, dang bruh, these kids'l kill a bitch rather than taking some god damn, fucking leaves.



this ladie, is just so fucking dope bruh, i'm smacked, i've been smacked all day. ""ay bruh, what more can a man ask for"", you feel me.







but man, rip [juice wrld] - bruh, i wish u were still here, i was tryna hangout wit u, one day cuz ,'




nah, yeah, nd rip [xxxtentacion] - i hope hes doing good up in heaven, . they all died way too young and way before their time. some doing things that could've just been prevented.




but yeah bruh, i'm smacked, and i hope you have a good night.","我发现了什么，这个疯狂的新地方叫做地狱，确实意味着地球上的天堂。



这位女士，真的知道如何过上她的生活，并照顾她的祖母，Dang Bruh，这些孩子杀死了一个bit子，而不是拿起该死的神，他妈的叶子。



这个女士，真是太他妈的涂料了，我被打了，我整天都被打了。 “嗯，一个人还能要求什么”，你感觉到我。







但是，伙计，rip [juice wrld] - 布鲁，我希望你还在这里，我是tryna gotnagout wit u，有一天，因为




不，是的，nd rip [xxxtentacion] - 我希望他在天堂做得好。他们都死了太年轻，而且在他们的时间之前。有些人在做可以预防的事情。




但是，是的，布鲁，我被打了，希望你过夜。"
18157,UgxrPCSpDhMQsLUguf94AaABAg,0,"seems to read, she said that the video was taken by her alone. i have been watching the camera, it is indeed still. but at the end of this video, she ate with grandma, and the camera was blurred from clearly programming, and the focal length changed, so someone should be helping to shoot.",好像在哪读到，她说视频是她一个人拍的。一直在看镜头，确实都是静止的。但是这个视频的最后的时候，她和奶奶吃饭，镜头从清晰编程虚化，焦距变了，所以应该是有人在帮着拍，要不就是可以自动变焦的方法
17732,Ugx3f8ArWvjk6oMiONV4AaABAg,0,give grandma some soup,给奶奶一些汤
17679,UgyiN_ZsWGjyoA-6ADV4AaABAg,0,gotta keep grandma well fed! she works all day for the good life.,要让奶奶吃得充实！她整日为美好生活工作。
17530,Ugwo9Nzu7LuYcxkyl3h4AaABAg,0,"the pot of cooking vegetables is getting bigger and bigger, and grandma is getting bigger and bigger, but i find it from nan huaijin's ""the analects of confucius"" to the soul-this is the other half of the traditional and gentleman's virtue",煮菜的锅越来越大，奶奶越来越大，唯从南怀瑾《论语别裁》中寻到直入心灵-这是另外一半传统与君子美德
17245,UgyaSVziDk4dOwTddMJ4AaABAg,0,luckiest grandma ever.,有史以来最幸运的奶奶。
17130,Ugx-JWVU2TrtmID4EVZ4AaABAg,0,one lucky grandma,一个幸运的奶奶
16773,Ugyn205GCWDvJi_iiEB4AaABAg,0,l like the grandma and the little prince very much,我非常喜欢奶奶和小王子
16702,UgzOBIyNLG91F3DsRXF4AaABAg,0,grandma's gesture with chopsticks is good standard.,奶奶用筷子的手势好标准。
16237,UgxborchozHO0c3jdrR4AaABAg,0,anyone else want to switch with the grandma?,还有其他人想和奶奶切换吗？
15934,UgzasNig1MXL1TID3fF4AaABAg,0,lucky grandma.,幸运的奶奶。
15098,UgybbDpm6SSjdmGqmu14AaABAg.93Yd0W1a9Ya93eDU23lWst,0,her grandpa was a well known chef in her town and he taught her how to cook while her grandma taught her how to do things like sew and make dresses. imagine being that talented,她的爷爷是她镇上著名的厨师，他教她如何做饭，而她的祖母教她如何做缝制和穿衣服等事情。想象那个才华横溢
15693,UgzWUy9cR_NxR0asgRF4AaABAg.936f1u2gWy3936iuh61pmR,0,i am more realistic. id be her neighbor in a heart beat.. so i may be able to taste her dishes if grandma and she could not finish all :),我更现实。我的心跳中是她的邻居。所以如果奶奶和她无法完成所有的一切，我也许可以品尝她的菜肴:)
15681,UgyfxsHi9JswO5h72ql4AaABAg,0,she does all that for grandma❤,她为奶奶做了所有这一切
15519,UgzANTKLYADLlahQ8qB4AaABAg,0,"if you need someone to hang out with your grandma and help you finish all that food, i'd be more than happy to oblige",如果您需要有人和奶奶一起出去玩并帮助您完成所有这些食物，我会很乐意施加责任。
15514,UgwfinMgprX-UOkFYRJ4AaABAg,0,"i thought that big bowl of noodles is for her dan grandma, but it is just for her! and look at that big spoon she used wkwkw omg this is so cuteee",我以为大碗面向她的丹奶奶，但这只是给她！看看她用wkwkw omg的那汤匙，这真是太可爱了
15465,UgwkU0IUiK7etuBaMSF4AaABAg,0,i love your videos you are a very good woman loves very beautiful grandma you do this with love and affection,我爱你的视频，你是一个非常好女人，爱奶奶非常漂亮，你以爱与爱心做到这一点
15446,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9I6d332xAqB,0,"@straitarrow5784 lol. have you watched chinese government propaganda lately? it's not as slick as this. 
if li ziqi is just a paid ""actress"" as you claimed her to be, at least she's got actual consummate cooking skills. also, she's actually farming & chopping stuff. good luck seeing fan bingbing ""acting"" like this. 
don't be that petty betch jealous of whoever's playing her fake grandma cashing in those government cheques lawl.","@straitarrow5784大声笑。您最近看过中国政府的宣传吗？它并不像这样光滑。
如果李齐（Li Ziqi）只是您声称自己的付费“女演员”，至少她拥有真正的烹饪技巧。另外，她实际上是在耕种和切碎的东西。祝您好运，看到粉丝bingbing这样的“表演”。
不要那个小的贝奇嫉妒谁在那些政府支票劳尔（Lawl）弹伪装的人。"
15285,Ugytt6QmR731SVKrNqZ4AaABAg,0,her grandma should be grand master chef when she was young,她的祖母年轻时应该是大师厨师。
15158,UgzgacEOczSpp2EvmN14AaABAg,0,"working hard...
love grandma 
looks so gorgeous 
adorable 
simple 
❤❤❤❤❤


i'll be damn if anybody doesn't like her......","努力工作...
爱奶奶
看起来很漂亮
可爱
简单的
❤❤❤❤❤


如果有人不喜欢她，我会该死的……"
15154,UgzVAithjMMjvuqb6Qd4AaABAg,0,girl ziyi meets with grandma. i am also my favorite mother! intersection,子柒姑娘相见与奶奶沟一下也是我最敬爱的妈妈！ ！
35084,Ugwmw0WCg372jgtN2gZ4AaABAg,0,this grandma is the happiest person in the world!,这位奶奶是全世界最幸福的人了吧！
