,cid,votes,含beautiful,含beautiful中文翻译
16785,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92znD8m4jum,13,"it's because the rural areas in china are nothing like this. if you go, the reality actually looks quite decrepit, and you will see lots of poverty and trash everywhere. you also have to shit in an outhouse in a pit with no running water. she doesn't show that. the videos are heavily edited to make them beautiful. even the vegetation. she probably uses her youtube money and hires landscapers to grow all that for her videos.

i'm just providing an explanation for why some people might hate this because it's not accurate depiction of reality. i still appreciate it because it's beautiful art even if it's fake.","这是因为中国的农村地区与众不同。如果您走了，现实实际上看起来很破旧，您会看到许多贫穷和垃圾。您还必须在没有自来水的坑里的外屋里屎。她没有表明。这些视频经过大量编辑，以使其美丽。甚至植被。她可能会用YouTube的钱，并雇用园丁来为自己的视频发展所有这些。

我只是为为什么有人可能讨厌这一点提供了解释，因为这不是对现实的准确描述。我仍然很感激它，因为它是美丽的艺术，即使它是假的。"
30145,UgxcR0cfNA_mJodNPG94AaABAg,13,"i wud just keep on luking her cook.. d beautiful garden she has, d music, d forest, river everything is so devine..",我只是继续卢克（Luk）厨师。
25767,UgxB4C4jxQffnc2kJzZ4AaABAg,13,beautifully filmed and edited! this life looks so beautiful and peaceful to me.,拍摄和编辑精美！这一生对我来说是如此美丽和宁静。
20181,UgzLWYDDlO9TkfQ6-OR4AaABAg,13,"everything is so traditional, beautiful, inspirational and.love all.the jars and utensils. learning so much.",一切都是如此传统，美丽，鼓舞人心，充满了一切。罐子和餐具。学习很多。
6460,UgwdelL5rw2PRmS5JjZ4AaABAg,13,"shooting so beautifully, trying to shoot a more beautiful video ๐ง",拍得真美 努力拍出更美的视频
24235,UgyEMapBjyQbgUkMzf94AaABAg,12,she is the most beautiful princess in the world,她是世界上最美丽的公主
23700,UgxkeTUrJQ781yZxNZV4AaABAg,12,i always feel cleansed inside when i watch this beautiful woman work.,当我看着这个美丽的女人作品时，我总是会在里面感到清洁。
4285,UgylN_1HCuYRgVfFTu14AaABAg,12,"i really like all your videos.
the scenery on this mountain is so beautiful, calm and cool. all these videos show a sense of sincerity, gratitude and simplicity.","我真的很喜欢你所有的视频。
这座山上的风景是如此美丽，平静和凉爽。所有这些视频都展现出一种真诚，感激和简单的感觉。"
18197,UgziL-FpLq_KflSBvHN4AaABAg,12,it's been a long time since i haven't seen a video of a woman who does not need a beautiful camera ... it is uncomfortable to see the pictures that make the eyes uncomfortable.,好久没有看到不用美颜相机的女up的视频了……那种白的让眼睛难受的画面看的难受。
7965,UgyEYMEHo3G6XVeajGt4AaABAg,12,"the appearance of women's cooking is very beautiful
i thought it was beautiful โ•ฐ (*ยด๏ธถ`*) โ•ฏ","妇女烹饪的外观非常漂亮
我以为这很漂亮╰（*´︶`*）╯"
33264,UgwFNu6cDnMGHsTwQ8F4AaABAg,12,"all the best to you, liziqi & beautiful",一切顺利，liziqi
13225,UgzVt8B8AQP9lN1VBiV4AaABAg,12,"she’s so beautiful and she knows how to do everything
it would be so amazing to have a wife like her if i get a luck:) hehe","她是如此美丽，她知道如何为您和您的家人做所有事情
如果我有运气，有一个像她这样的妻子真是太神奇了:)呵呵"
25798,UgyAlUrLd8ywswhd-aB4AaABAg,12,she is beautiful like a doe and active like an ant...,她像母鹿一样美丽，像蚂蚁一样活跃...
20317,UgxjRl86IPQ28sNb41F4AaABAg,11,"she is such a hardworking lady. working day and night, i salute her determination. 
i loved the place which is so beautiful, whatever you need just step out and you will find everything whatever you need. this seems to be so beautiful and easy but not she is doing the hardest work. i love everything about this video","她是一位勤奋的女士。日夜工作，我向她致敬。
我喜欢一个如此美丽的地方，无论您需要什么，只需走出去，您会找到一切所需的一切。这似乎是如此美丽和容易，但不是她在做最艰苦的工作。我喜欢这个视频的一切"
17411,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92oMvsxRVj5,11,@dexter_7883 actually i mean..it's a simple and beautiful life..why to include dis hard word instead..and i agree u she is a hardworker too..,@dexter_7883实际上是我的意思是..这是一种简单而美丽的生活。为什么要包括dise hard Word。
32025,UgwaJkkIiTT3KCcCCtZ4AaABAg,11,"if it's possible i wanna visit this beautiful place 
wonderful place guys!!
everytime i watches her videos i too get to have love for the place apart from organic foods ♥️","如果有可能，我想参观这个美丽的地方
很棒的地方的家伙！
每当我观看她的视频时，我也都会爱上这个地方，除了有机食品♥️"
19074,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392De8CnUWQv,11,"welcome to china, it is a beautiful country won't let you down.have a nice travel",欢迎来到中国，这是一个美丽的国家，不会让您失望。
4587,Ugyn2oPC3jy_yDWl_nB4AaABAg,11,"the chinese past knowledge being documented beautifully and preserved for the future generations. im awed by this, even when china is currently in their the most advanced period in history and the world with their technology and infrastructure.",中国过去的知识被记录在后代的精美并保存下来。我对此感到敬畏，即使中国目前处于历史上最先进的时期，以及他们的技术和基础设施。
23824,UgwthuALnpC-hfbyZ014AaABAg,10,"this video,is beautiful, all of your videos are. 
they are so calming.","这个视频很漂亮，您的所有视频都是。
他们很平静。"
35061,UgzzpXT2OCVaSTpSZQB4AaABAg,10,"""beautiful scenery admires❤""",“美丽的风景欣赏”
4331,Ugxlwy8wZ2SdyXxkPsV4AaABAg,10,:) i love it. she’s beautiful and has amazing drive. watching her keeps me motivated,：） 我喜欢它。她很漂亮，有着惊人的动力。看着她让我有动力
34074,UgwfnlCHD7mTRA7hsc14AaABAg,10,"beautiful video, as always liziqui, greetings from méxico",美丽的视频一如既往liziqui ，问候来自 México
30146,UgwQvU-spSoH1t5MlO94AaABAg,9,"what a life wish i could join you sister. your gardens are beautiful, your spirit is beautiful where you live is beautiful ...beautiful just everything beautiful",我的生活希望我能和你姐姐一起。你的花园很美，你的精神很美，你住的地方很漂亮...美丽的一切美丽
18552,UgyftR_VY4yxe8ZpG0N4AaABAg,9,"this is so amazing to watch . i wish i could live like this, i'm sure its very hard but being one with nature and being able to supply for your family from what your landscape offers is such a magical thing. i'm jealous of how you live, you are beautiful and smart and doing amazing things for the environment. thanks for letting us watch your beautiful life. its so peaceful",这真是太神奇了。我希望我能像这样生活，我敢肯定这很难，但是与大自然的人成为一个人，并能够从景观提供的东西中为您的家人提供如此神奇的事物。我嫉妒您的生活，您是美丽而聪明的，为环境做了不起的事情。感谢您让我们观看您的美丽生活。它是如此和平
25650,Ugz_Oz7HfjRCdoax9zF4AaABAg,9,i don't know how many times i see this video. its blow my mind how beautiful this girl and she look like a lady in fairy tale. i send love from indonesia,我不知道看这部视频有多少次。我的想法让这个女孩多么美丽，她看起来像个童话中的女士。我从印度尼西亚发送爱
16591,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H92xuW7Yem7v,9,nicely shot and beautifully edited.,精心射击，精美编辑。
7224,UgyhiDHm-7fbFh4-TJJ4AaABAg,9,she is beautiful and knows how to cook and she is tidy that's a wife material there... whoever marry her would be a lucky person,她很漂亮，知道如何做饭，她整洁，那是妻子的材料...嫁给她的人都是一个幸运的人
13367,Ugxf_s_q7Zn2Y0ooqNV4AaABAg,9,"aside from the super oily cooking and sometimes too much sweet, everything else is perfection and inspiring. the nature, the mountains, the gardens, the ingredients, the natural environment including appliances, your incredible skill in everything, your strength, the creativity.. the angles, and the video editing..well done~
the sound capturing of every activities is also amazing.. almost like asmr. beautiful background music. relaxing and beautiful.
you potray what you had said.. to show where the food we eat comes from. the works behind it. and the variety of the nature.","除了超级油腻的烹饪，有时太甜了，其他一切都是完美和鼓舞人心的。大自然，山脉，花园，成分，自然环境，包括设备，您的一切都在一切方面，力量，创造力。
每个活动的声音捕获也很棒。几乎就像ASMR一样。美丽的背景音乐。放松和美丽。
您是您所说的话..以展示我们吃的食物来自何处。它背后的作品。以及自然的多样性。"
11606,UgzuYERy9AdZel5Ih8p4AaABAg,9,just watched to see how this beautiful lady is doing things ... otherwise all these recipes are no useful for me.,只是看着这位美丽的女士在做事如何……否则，所有这些食谱对我来说都不是有用的。
19225,UgwL1z8QFM11clnGU3B4AaABAg,8,china is so incredibly beautiful...,中国是如此美丽...
19859,UgwM-llmdj7iJ0gpTCV4AaABAg,8,i’m disappointed with city girls. isn’t this beautiful,我对城市女孩感到失望。这不是美丽的
24035,UgzxAwjl_L_TkTKVGVF4AaABAg,8,"you are wonderful, just like the ladies of the past!!! do everything by themselves , without the help of a man!! i’m glad you have subtitles , so we can understand whatever you are doing!!! unfortunately there are at least 2 bloggers who are showing your videos , i hope you will do something about that, you do the work it’s not fair for someone else to get credit for all your efforts !! good night beautiful miss liz may god bless you and you dear grandma ❤️❤️",你真是太好了，就像过去的女士们一样！！！在没有男人的帮助的情况下自己做一切！！我很高兴您有字幕，所以我们可以理解您在做什么！！！不幸的是，至少有2位博客作者正在展示您的视频，希望您能为此做些事情，您做的工作对于别人的所有努力都不公平！！晚安美丽的丽兹小姐愿上帝保佑你和你亲爱的祖母❤️❤️
