,cid,votes,time,含video,含video中文翻译
2740,UgzEDsZzmYAPNawTzGh4AaABAg,62,1 year ago,"its so nice to watch this kind of videos, because this pandemic limits us to travel places, but because of your video i have the luxury to see your place in my own home and this makes me learn something from your beautiful culture!
and most specially thank you for inspiring me to create countryside life content, love from the philippine countryside ❤️","观看这种视频真是太好了，因为这个大流行使我们限制了旅行的地方，但是由于您的视频，我很奢侈地看到您在自己家中的位置，这使我从美丽的文化中学到了一些东西！
最特别感谢您激发我创造乡村生活内容，菲律宾乡村的爱情❤️"
3909,UgxgK05InVePyfFVu_14AaABAg,62,2 years ago,"this is another incredibly good, brilliant, beautiful, and inspiring video from ms. liziqi (who is also beautiful, hardworking, and brilliant.). we over here in los angeles, love your videos so much. the videos are also very therapeutic, soothing, and relaxing. thank you so much for sharing all your videos, and for all your hard work.",这是Liziqi女士的另一个令人难以置信的好，辉煌，美丽，启发性的视频（他也很漂亮，勤奋且出色。）。我们在洛杉矶，非常喜欢您的视频。这些视频也非常治疗，舒缓和放松。非常感谢您分享所有视频，以及您的辛勤工作。
17608,UgxW81R99cPbf3bu0s54AaABAg,59,3 years ago,i watched the video published on the us website with the american internet,我用美国的网络看中国人发布在美国网站上的视频
29809,Ugx2hZVd-RV0W0AJc114AaABAg,58,3 years ago,"really adorable videos, great movie experience!",真的很可爱的视频，很棒的电影体验！
24926,Ugxr0u5Uggi_LMid5Jt4AaABAg,55,3 years ago,"this is my first time watching her video, i think i am in love.
her knowledge is incredible.","这是我第一次观看她的视频，我想我恋爱了。
她的知识令人难以置信。"
30720,UgzErB0qJ6RgkSbR-vx4AaABAg,54,3 years ago,"when i started to watch her videos, i no longer want an extravagant life. sml ❤️",当我开始观看她的视频时，我不再想要奢侈的生活。 SML❤️
28307,UgzP_2hph4EIUadcx8N4AaABAg,54,3 years ago (edited),"i don’t usually watch these videos to know how to cook things, i watch them because they make me wonder how living this type of lifestyle feels like. it’s just so interesting",我通常不会看这些视频知道如何做饭，我看了它们，因为它们让我想知道这种生活方式的感觉如何。太有趣了
32501,Ugy7pHjjt2tGgtdwxip4AaABAg,53,3 years ago,"today i found this video of her and i can't stop watching it.i feel inspired and positive thought flowing all over me .thank u for opening my eyes.save earth

those who are reading my comment may have a great healthy long life","今天我找到了她的视频，我无法停止观看。

那些正在阅读我的评论的人可能会有很大的健康寿命"
4551,UgzsYjL8Vp2YVP-cX894AaABAg,53,2 years ago,"hello, li ziqi. i am from indonesia and i really like you. the spirit of making videos. and don't forget to take care of your health. because many people like your video, i love you. bleak",你好，李子琦。我来自印度尼西亚，真的很喜欢你。制作视频的精神。并且不要忘记照顾自己的健康。因为很多人喜欢你的视频我爱你。
29217,UgxVqZz0d0-eMHiElst4AaABAg,50,3 years ago,"i love all your videos. in cebuano bisaya, we call bamboo shoots ""dabong/ubod"" and string beans ""batong""
love from philippines","我喜欢你所有的视频。在宿拜诺·比萨亚（Cebuano Bisaya）中，我们称竹芽为“ dabong/ubod”和山豆“ batong”
来自菲律宾的爱"
28254,UgxGlX6pYTAyFYOZ1Mp4AaABAg,49,3 years ago,love from india... i will always wait for another video..,来自印度的爱...我将永远等待另一个视频。
22247,UgysTyDyaKt7NfosbqJ4AaABAg,48,3 years ago,i feel guilty watching this video and there isnt a single ad. some people make worst content and run ads about every minute or two.,看这部视频，我感到内gui，没有一个广告。有些人的内容最糟糕，每分钟或两分钟大约进行广告。
14728,UgwzEHqgrZMDUhltGB14AaABAg,47,3 years ago,"her videos make me remember the book “the good earth.” you guys should check it out if you haven’t read it before, it is a very relaxing story.",她的视频使我记得“好地球”。你们应该检查一下，如果您以前从未阅读过，这是一个非常轻松的故事。
33049,UgwLO82-iVslTnvW85p4AaABAg,47,3 years ago (edited),"relaxing sunday and her soothing peace giving video.
no other combination is so good.","放松周日和她舒缓的和平播放视频。
没有其他组合如此好。"
27338,UgyqjPTHhS1Rq92a9Hd4AaABAg,47,3 years ago,we want to see your garden can you just upload the full video and how you are growing plants.,我们希望看到您的花园，您可以上传完整的视频以及如何种植植物。
28515,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8y_B3MqEI0N,47,3 years ago (edited),"she has nothing to do except for producing videos, that's why she does not forget anything. she can't even speak proper english.",除了制作视频外，她无事可做，这就是为什么她什么都不会忘记任何事情。她甚至不能说适当的英语。
17373,UgzGdYUuKr-YuVwjM9l4AaABAg,47,3 years ago,the asmr video we needed.,我们需要的ASMR视频。
16221,UgxeNCxUyj34BnW1k8x4AaABAg,46,3 years ago (edited),im glad she was able to make this video. luosifen is one of the most memorable chinese dish for me... tnt smelly yet delish,我很高兴她能够制作此视频。 Luosifen对我来说是最难忘的中国菜之一... Tnt Smelly却美味
3038,UgxKtHuOHYK2IvYq_Pd4AaABAg,45,1 year ago,liziqi and dianxi are seriously living my true life dream of living off the land in the countryside making food for the family everyday with wild natural ingredients or plants/livestock i planted and raised from the start. i wish there were areas that are as abundant with farm land and wild edibles as their countryside but i live southern california where the only thing in the wilderness is dead grass and mountain lions lol there are a lot of squirrels rabbits and skunks for a source of meat but i wouldn’t be able to grow or pick any of the amazing types of fruits and vegetables they have in their videos,Liziqi和Dianxi认真地实现了我的真实生活梦想，即生活在乡村的土地上，每天用野生天然成分或植物/牲畜从一开始就植入并养育了植物/牲畜。我希望有些地区与农村一样丰富，但我住在南加利福尼亚州，那里的荒野中唯一的东西是死草和山狮，大声笑有很多松鼠兔子和臭鼬，以提供一种来源肉，但我将无法在视频中种植或选择任何令人惊叹的水果和蔬菜
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,2 years ago,"i love your videos! they are so peaceful and the epitome of what i want someday for my life. i always come back to this one and the year of the pig chinese new year! they are two of my favorites (though the newest new years video was amazing!). much love from florida, usa",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
33871,UgxSiZnyRA-c60kRMLR4AaABAg,45,3 years ago,she is totally great.... luv her all videos.... and we army wait for ur videos and when we see that u have uploaded a new one.... click!!!!!... luv from india,她非常棒。。。
18578,UgxV_6x8LOYL_slnoot4AaABAg,45,3 years ago,"don't watch her videos while eating, otherwise i saw what she made and what she did.",不要在吃饭的时候看她的视频，不然看到她做的和自己做的那简直是自取其辱
34854,Ugww8WabgL_AcHDqfb94AaABAg,44,3 years ago,"thank you sooooo muchhhhh for uploading your videos frequently 
god bless you for moving and helping all the people emotionally.
you are such a great person and i want to remind it to you in case if you feel like you havent been told enough how admiring and beautiful young lady you are","谢谢您soooo muchhhhh经常上传您的视频
上帝保佑您动摇和帮助所有人情感上的人。
你真是个好人，我想提醒你，以防万一你觉得自己还没有被告知足够钦佩和美丽的小姐你是"
29683,UgzpH3BE2koNS4RrEgp4AaABAg,44,3 years ago,thank you for the english sub-titles. your videos are amazing. my neighbor has bamboo. hmmmmm,谢谢您的英语子贴。您的视频很棒。我的邻居有竹子。嗯
27286,Ugypu9302JB6MQoBftt4AaABAg,43,3 years ago,i was expecting a panda bear to pop up behind her when she was walking through the bamboo forest in the beginning if the video.,当视频一开始，当她穿过竹林时，我期望一只熊猫熊在她身后弹出。
7563,Ugydj375CIk4ZQlPlyV4AaABAg,43,2 years ago,"this is my first time watching her videos, and i must say, it's very inspiring and how lucky she is to have those wonderful ingredients within reach, or so.",这是我第一次观看她的视频，我必须说，这是非常鼓舞人心的，而且她能够拥有那些出色的成分，这是多么幸运。
33155,Ugwg1zIlZ6O3KVoqHzZ4AaABAg,43,3 years ago,"i'm a fan from vietnam
your videos have been popular in there","我是越南的粉丝
您的视频在那里很受欢迎"
12009,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s97v7oWpIszF,42,3 years ago,netflix cooking shows talk their mouth off her video rarely talk,Netflix烹饪表演表达他们的嘴很少说话
15371,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93PXkeXUCEo,42,3 years ago (edited),"lumine moon, oh.... even here in india, it's not rare. but the beautiful farms, woods and the great weather really makes the video like a fairytale.",Lumine Moon，哦。。。即使在印度，也不是罕见。但是美丽的农场，树林和伟大的天气确实使视频像童话一样。
