,cid,votes,time,含amazing,含amazing中文翻译
33295,UgxMR6LIbUgNgGCiaKR4AaABAg,5,3 years ago (edited),"its astonishing how calming her videos are...simply amazing.... superb video quality all organic food... 
i wish i could live there...
great video. looking forward for the next upload","令人惊讶的是她的视频的平静……简直令人赞叹。
我希望我能住在那里...
很棒的视频。期待下一个上传"
27067,UgzD-nw4k_w5vwYx0wR4AaABAg,5,3 years ago,"this is amazing!
it looks so delicious that it doesn't become a word!","这真太了不起了！
看起来很美味，以至于它不会成为一个词！"
10747,Ugybr_0eU7JnVfkGKQl4AaABAg,5,3 years ago,wen she went at the river n collect snail it was amazing n i remember my past life n missing my mom so much,Wen她去了河N河收集蜗牛，真是太神奇了，我记得我前世n很想念我妈妈
23012,UgzesH1vdKiVQXPeDhR4AaABAg,5,3 years ago,she is amazing... so much new things i have never seen before.. thank you for that,她真是太神奇了...我以前从未见过的很多新事物..谢谢你
5171,Ugy3zZwFAxnaHUQPYbx4AaABAg,5,2 years ago,"this thin 40-45 kg girl is amazing.
its heart became fan","这个瘦的40-45公斤的女孩很棒。
它的心成为粉丝"
32894,Ugy4x86U9KDv3F1RYN94AaABAg,5,3 years ago,i wish i was granny who gets to experience all the amazing delicacies,我希望我是奶奶，他能体验所有令人惊叹的美味
24767,UgwtfL9qU_gggutgk6d4AaABAg,5,3 years ago,"anyone else here because of game grumps?

also...amazing video!!","还有其他人因为游戏脾气暴躁吗？

还有...很棒的视频！"
18045,UgwTSXj3mPlZYE3bX954AaABAg,5,3 years ago,me: omg what an amazing person!!!!! 2 ads interrupted video me: nooooooo,我：天哪，真是一个了不起的人！ 2个广告中断视频我：noooooooo
23818,UgwBpzKd-TId4mJu_e14AaABAg,5,3 years ago,"what an amazing young lady, filial to her grandmother, cultivates, cares for and then harvests all of her own food. builds her own furniture, makes her own cooking utensils, her own clothing. she must be incredibly strong, obviously very intelligent, and to top it all off she is beautiful. her program is wonderful to watch, to listen to and to enjoy. thank you.",多么了不起的小姐，向她的祖母申请，培养，关心然后收获自己的所有食物。建造自己的家具，制作自己的炊具，自己的衣服。她必须非常坚强，显然非常聪明，最重要的是，她很漂亮。她的节目很棒，可以观看，倾听和享受。谢谢。
6058,UgyrvDpOTVxtcyZ1lSh4AaABAg,5,2 years ago,amazing how she knows where everything stays,她如何知道一切都在哪里
31474,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVpriwYOuj,4,3 years ago,greetings from slovakia my friends. her videos are amazing. i hope they'll stay this way for a long long time. she deserves this much subscribers and even more.,斯洛伐克的问候是我的朋友们。她的视频很棒。我希望他们能以这种方式呆很长时间。她应该得到这么多的订阅者，甚至更多。
31007,Ugy_fCyx53bR6kPFoLF4AaABAg,4,3 years ago,love your videos .... you are true inspiration and motivation. thank you so much for sharing your amazing and magical life with us ....,热爱您的视频。...您是真正的灵感和动力。非常感谢您与我们分享您的神奇生活。
24998,Ugxh4an9n8vh-FXv-e94AaABAg,4,3 years ago (edited),it's so amazing. these foods were also found in our small garden before. i really miss this simple life,太神奇了。这些食物也在我们的小花园中发现。我真的很想念这个简单的生活
5760,Ugw0BLEKwMBffKWeoeR4AaABAg,4,2 years ago,how can people dislike these videos? this is amazing.,人们如何不喜欢这些视频？这真太了不起了。
5377,UgzglZr0mMTv5hiPETZ4AaABAg,4,2 years ago,your so amazing the way you do things like your the last women in earth and there are no stores just what you grow yourself. outstanding,您做的事情是如此令人惊奇，例如地球上最后一个女人，也没有商店只是您自己成长的东西。杰出的
21297,Ugx5xTi57XDxzk2qiLV4AaABAg,4,3 years ago,"the snail was also done by tian in the field, so amazing!",螺蛳竟然也是田里自己搞的，太厉害了！
2591,UgyGlJW8MhoEzdZZAgJ4AaABAg,4,1 year ago,she's really amazing.. i love all of her videos & always support this channel,她真的很棒。我喜欢她的所有视频，并且总是支持此频道
25900,UgxdKM-w8pkjm6Lo_ud4AaABAg,4,3 years ago,i would love a tour of the property. she has so much resource it must be amazing to see.,我会喜欢游览该物业。她拥有如此多的资源，看到一定很棒。
28290,UgzBeOl07MgSJcYe3894AaABAg,4,3 years ago,"wow! 
amazing! 
we are so blessed to have your channel. thank you! ♥
moira 
from england.","哇！
惊人的！
我们很幸运能拥有您的频道。谢谢你！ ♥
莫伊拉
来自英国。"
33355,UgwYtJvoMTg1DmnP9Dh4AaABAg,4,3 years ago,"amazing, most comments are english. good job liziqi. with love from jkt",令人惊讶的是，大多数评论是英语。好工作liziqi。与JKT的爱
9369,UgzH9zSLw3du2rBNtAx4AaABAg.9ADZcsPCRSB9B7ITRmsn5F,4,2 years ago,"i saw a video on her and she said she would build things with her grandfather as a child. also, she worked and lived in ""the city"" for awhile but came back for various reasons and i know she will look up how to do things on yt!!
zi qi is simply amazing and inspiring! 

hope you are doing well!! ๐โ","我在她身上看到了一个视频，她说她小时候会和祖父一起建造东西。另外，她在“城市”工作并生活了一段时间，但出于各种原因回来，我知道她会在YT上查找如何做事！
Zi Qi简直令人赞叹和鼓舞人心！

希望你一切顺利！！"
33674,UgxCxoNZS4muJdxzohR4AaABAg,4,3 years ago,the way you live is amazing! it's like being in heaven! i am also struck by the quality of the shooting and the audio! congratulations from italy!,您的生活方式真是太神奇了！就像在天堂一样！射击和音频的质量也让我感到震惊！恭喜意大利！
3744,UgzxTV12bhXF8vqOm3F4AaABAg,4,2 years ago,"this is what you gotta watch when you’re feeling lazy about which drive through to go to for lunch, then, end up going to the supermarket and buying things to cook, then, feeling like you did something great by cooking, then, realizing you still really didn’t and how you have it so well off in comparison to what others do to make a meal, then, and finally then, you actually realize you’re not that well off since no matter how much easier it is to get things as quickly and easy as you do, this person here has so much more skills and rewards of feeling the feeling she must feel on a daily basis from always learning, doing and providing for her family, in this way. amazing!!! my goodness",这就是当您对哪个开车去吃午餐的懒惰时，您必须看着什么，然后，最终去超市买东西做饭，然后，感觉就像是通过烹饪做得很好，然后才意识到自己做得很好与其他人做饭相比，您仍然真的没有以及如何拥有它，然后，您实际上，您实际上意识到自己的状况并不顺利，因为无论多么容易，像您一样快速，轻松地获得事情，这里的这个人具有更多的技能和回报，感觉她每天都会以这种方式学习，做和为家人供养，她每天都必须感到自己。惊人的！！！我的天哪
15892,UgwFl1E_w9r47AutTh14AaABAg,3,3 years ago,"finally i found your channel youtube... natural and amazing i wish to live like this , i am in love with this kind of life",最后，我找到了您的YouTube频道...自然而神奇的我希望这样生活，我爱上了这种生活
15719,UgwKmvCYgvIwZBiZ-_Z4AaABAg.936K9pwta5L93p64eLZqgd,3,3 years ago,"she was saved by her grandparents when she was 6 years old. her father died and her step mother abused her. she grew up learning how to survive in the countryside, that is why she is so amazing.",她6岁时，她的祖父母救了她。她的父亲去世了，继母亲虐待了她。她长大后学习如何在乡村生存，这就是为什么她如此出色的原因。
2896,UgzLnhrE-YzyBrIMcTR4AaABAg,3,1 year ago,this woman is amazing. thank you for such an artistic treasure. your director/cameraman has a true talent!,这个女人很棒。谢谢您的艺术宝藏。您的导演/摄影师具有真正的才华！
19108,UgyFuH1ls9KNp14423h4AaABAg,3,3 years ago,my all time favorite series of videos to watch. the food looks amazing and the scenery is breathtaking.,我一直以来最喜欢观看的视频系列。食物看起来很棒，风景令人叹为观止。
11079,UgzkpYugTbyQ0sQNWs94AaABAg,3,3 years ago,these foraging videos are amazing. makes me jealous!,这些觅食视频很棒。让我嫉妒！
5797,UgwJsT0DXpSdfceI2Nl4AaABAg,3,2 years ago,"i love your videos so much, not only coz they are sooooo excellent, but also i am from sichuan. now i am living abroad. while i see these stuff and the ways you are showing and get the sichuan dialect you are speaking, i feel so closed to my hometown and my family, such a natural and true emotion form the bottom of my heart! really amazing!!!",我非常喜欢您的视频，不仅因为它们非常出色，而且我来自四川。现在我住在国外。当我看到这些东西以及您所展示的方式并获得您所说的四川方言，但我对我的家乡和家人感到非常封闭，这是我内心深处的如此自然而真实的情感！真的很棒！！！
3446,Ugz52awlurniXXBVGwx4AaABAg,3,2 years ago,"so beautiful, amazing, lovely, and wonderful. much blessings to you. thanks for sharing, lord-jesus-christ com",如此美丽，惊人，可爱和美妙。祝福你。感谢您的分享，耶和华 - 基督教
32880,UgxN7NFGjJrEc7efRWd4AaABAg.8yUkoNRrTzC8yV4232nhzq,3,3 years ago,"yes , that is the real deal , we should all live like this , it is hard work but the nature and her way of cooking is relaxing and amazing ..",是的，这是真正的交易，我们都应该像这样生活，这是艰苦的工作，但是她的性质和烹饪方式是放松和惊人的。
