,cid,votes,含like,含like中文翻译
49559,UgyiFZ029RrZn7E5VS14AaABAg,72,"when i was young in taiwan, when the popcorn was popcorn in the neighborhood, a group of our children also looked around the lively. there was a loud noise, and then i immediately gathered. in the place where ziyi lives, the small business of people like happiness continues to exist, i hope it will live forever!","小时候在台湾, 爆米花的在街坊爆米花时, 我们一群孩子也是绕着看热闹, 一声巨响大家一哄而散, 之后又立刻群聚围看, 闻香看米花, 童年美好的记忆! 如今在子柒住的地方, 开心这样的民间小生意还继续存在着, 希望它永存!"
17667,UgzowBGsC_vObZxvw3l4AaABAg,72,"everything she does is perfect. i mean, i'm in the city right now and she makes the country life like cool. when i went to china to visit my releatvies in the country side, i did not like it. but looking at her just makes me feel like i should go back. but coronavirus yall.",她所做的一切都是完美的。我的意思是，我现在在这座城市，她使乡村生活像酷。当我去中国参观我在乡村方面的依据时，我不喜欢它。但是看着她只是让我觉得我应该回去。但是冠状病毒yall。
32600,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8vt7B78NnH8,72,"the video reminds me of my childhood, many chinese people used to live a life like that!",该视频使我想起了我的童年，许多中国人曾经过上这样的生活！
19433,Ugy_QzqW3SG-NLjCB-J4AaABAg,71,i find this so interesting and relaxing. i don't understand all the dislikes...,我发现这是如此有趣和放松。我不明白所有的不喜欢...
6328,UgyPM-2Yk_fhUweauTB4AaABAg,71,"i also grew up in rural china, and although the content of the video is very different from the real-life of most of us rural people, i have to admit that her videos are exceptionally well done, and i really like her videos",我也在中国农村长大，尽管视频的内容与我们大多数农村人的现实生活截然不同，但我必须承认她的视频做得非常好，我真的很喜欢她的视频
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
47819,UgzPMa0eCR_UApYar1R4AaABAg,69,"hi. . i come from russia. thank you. i got a lot of fun. beautiful videos, beautiful music. really like.",嗨。 . 我来自俄罗斯。多谢。 . 我得到了很多乐趣。美丽的视频，优美的音乐。真的很喜欢。
16564,Ugy8NX153xGIGHcd5PF4AaABAg,69,"when i retire, i want to have a peaceful life like hers.",当我退休时，我想拥有像她一样和平的生活。
33762,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vdso7ou4My,68,"i really wish to experience lifestyle like this someday. if not now, then when i retire.",我真的很想有一天能体验到这样的生活方式。如果不是现在，那我退休。
39990,UgzRg2duHRyigXtfcDl4AaABAg,67,loved this video! ms. li and her grandma and uncle are adorable! she's a very hard working woman. these videos should get more likes and no dislikes. wonderful and warming videoโค,喜欢这个视频！李女士和她的祖母和叔叔很可爱！她是一个非常努力的女人。这些视频应该得到更多的喜好，而不喜欢。精彩而温暖的视频❤
51096,UgzEvA8Kd7EueLmbSi54AaABAg,67,"i like the warm season,
looking at this video
winter isn't bad too","我喜欢温暖的季节，
看这个视频
冬天也不错"
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
15968,UgwAbK_X4dln96WPCTN4AaABAg,63,you motivate me you inspire man i'm 75 years old and that give up online until i saw some of your shows that's the best medicine anybody would want. i do not know you personally but you're a godsend the lord loves you i wish i was more people like you were that kind of russian americans it makes no difference i wish i was more people planet earth like god bless you.,您激励我，您激发了我今年75岁的人，在网上放弃了，直到我看到您的一些节目，这是任何人都想要的最好的药物。我个人不认识你，但你是天哪，上帝爱你，我希望我更多的人，就像你是那种俄罗斯的美国人那没有什么区别，我希望我像上帝一样，像上帝一样，保佑你。
14718,UgyCvRqWiyY-JOVVeZF4AaABAg,61,this feels like straight out of a jrpg.,这感觉就像是直接从JRPG出来的。
4235,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SVpoQhtvy-,61,@diogomelo3705 but look at her bro. her video is good enough to be a tv show or documentary. the editing and filing is pro. she’s more like an actor.,@diogomelo3705，但看着她的兄弟。她的视频足以成为电视节目或纪录片。编辑和归档是Pro。她更像是一个演员。
34258,UgwTeLzvn9xOqtnMCwB4AaABAg,60,my feelings of joy almost like crying of happiness good video i love it โค,我的喜悦的感觉几乎像哭泣的幸福好视频，我喜欢它❤
21207,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV93x_937hx_a,60,elns watching people making popcorn like that was one of the happiest things in my childhood. back then we had very few snacks or food. the popcorn guy walked town to town. when he came to our neighborhood we were really happy. we brought our own rice or corn kernel and only paid him several cents for making popcorn. he roasted his tightly sealed pot over fire. at the end he released the lid and it made a super loud sound. and we the children just jumped away with laughter.,Elns看着人们做爆米花的人是我童年时代最快乐的事情之一。那时我们有很少的小吃或食物。爆米花的家伙走到城镇。当他来到我们附近时，我们真的很高兴。我们带来了自己的米饭或玉米仁，只付了他的几分钱来制作爆米花。他在火上烤了紧密密封的锅。最后，他释放了盖子，它发出了超大的声音。我们的孩子们只是大笑起来。
22020,UgwpxFFYsP4GRDH_-EN4AaABAg,60,everyone have a dream like this๏ผbut only she makes it true.,每个人都有这样的梦想，但只有她才实现。
12583,UgwCmVfJPpdoJOFSu1J4AaABAg,60,"me, throughout this video: oh that looks good, oh i don't like nuts but that looks so good, oh what is that it looks so good",我，在整个视频中：哦，看起来不错，哦，我不喜欢坚果，但看起来很不错，哦，它看起来很好
19176,Ugymg5O3FHlbYOgDaHx4AaABAg,60,"i've never seen such an intense way to make popcorn. then again, i've never had to make popcorn without a microwave or stove so like",我从未见过这种强烈的爆米花方式。再说一次，我再也不必在没有微波炉或炉子的情况下制作爆米花
33767,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vta--Zuy5Q,60,i wish my life was like this. i don't know how the hell life became this way with the 8-5 job and commuting and just constant go go go (in the us at least not sure how it is other places). i found this channel by accident and it is so relaxing and just wish i could live like this.,我希望我的生活就是这样。我不知道通过8-5的工作和通勤，而不断去继续前进（在美国，至少不确定它是其他地方）。我偶然发现了这个频道，它是如此放松，只是希望我能这样生活。
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
15936,Ugy8Uw6Od4_Wr7nvFkR4AaABAg,58,"i don't understand why there are 25,000 people who don't like this video. such an excellent work is really beautiful. i hope li ziyi's life will continue to be so beautiful.",我不懂为什么会有2万5千人不喜欢这个视频。这么优秀的作品真是太美了，希望李子柒的生活继续这么美好。
10079,Ugz9teFE6G-_fbzLTEV4AaABAg,57,how are all her videos so clear and just shot in the perfect angles?!? it looks like an actual show!!! so nicely done!!!,她的所有视频如何如此清晰，只是以完美的角度拍摄？！？看起来像是一个实际的表演！！！做得很好！！！
37547,UgypSsAyPvklZn9t2fR4AaABAg,57,"i'm 13 yrs. old and asking myself right now if i'll ever grow up like a responsible lady like her~๐ญ

cries while eating chips and soda~","我13岁。老了，现在问自己我是否会像像她这样的负责任的女士长大〜

吃薯条和苏打水时哭泣〜"
33571,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r28vychKOUbhG,57,"valeria blanco like how my asian family says ""one plate of food isn't enough""",瓦莱里亚·布兰科（Valeria Blanco）喜欢我的亚洲家庭如何说“一盘食物还不够”
44884,UgwvadNSiPiMMzuZfJV4AaABAg,56,"translated into russian:

translation: in this video, is it preparing snacks for the chinese new year. year of pig. here is the list of what she did: she climbed the mountain, gathered several chestnuts and fried them in the oven, which she herself built. tsukati from hawthorn on a stick (bing tan hulu). she covered the berries with chinese stone sugar. sesame and peanut sweets. dried mangoes. zephyr squares. spicy and numb, sluggish beef. frying seeds. arachis fried. egg roll note: ms. lee lives in the province of sichuan, china. sichuan from ancient times is called the earth of abundance. you can literally throw the seed to the ground, and the plant will grow like crazy. they have everything there. some of those whom she uses can be inaccessible to people in other countries. a couple of her happy followers on weibo will receive these snacks from her. she loves to give out free things to her followers. she said that she did not exist if her followers had not supported her.","翻译成俄语：

翻译：在此视频中，是为农历新年准备小吃。猪年。这是她所做的事情的清单：她爬上山，收集了几个栗子，然后在烤箱里炸了它们，她自己建造了。 Tsukati来自霍索恩（Hawthorn）的棍子（bing tan hulu）。她用中国石糖覆盖了浆果。芝麻和花生糖。干芒果。 Zephyr正方形。辣，麻木，牛肉缓慢。油炸种子。阿拉奇炸。鸡蛋卷注意：李女士住在中国四川省。来自古代的四川被称为丰富的地球。您可以从字面上将种子扔到地上，植物会疯狂地生长。他们在那里有一切。她使用的一些人在其他国家可能无法访问。她在微博上的几个幸福的追随者将从她那里收到这些小吃。她喜欢给她的追随者免费提供东西。她说，如果她的追随者不支持她，她就不存在。"
