,cid,votes,含bamboo,含bamboo中文翻译
33965,UgzDOSAgcrG4_CXZ0a14AaABAg.8yUWzO8k0yg8yUjvoIDAfM,4,"james mother -in -law, you see that this bamboo shoot is bigger than my head. my mother -in -law: you can't count anything. when i was young (in the past, i had a lot of meaning, in short, it means the past meaning). if you don't hear it right, it should be translated into mandarin.",James 婆婆你看这个笋比我脑袋还大，婆婆：你这个算不了什么，我年轻时候（往年子有很多意思，总之就是过去的意思）拔得笋比这个还嫩。如果没听错 就这样翻译成普通话应该没错
4621,UgwJPWwYnjzbhku4TYZ4AaABAg,4,in indonesia we call it bamboo shoots,在印度尼西亚，我们称之为竹芽
486,UgwgnGh5ESGGXt6Mkwh4AaABAg,4,i really like that vegetable. in indonesia the name is bamboo shoots alias young bamboo.,我真的很喜欢那种蔬菜。在印度尼西亚，名字叫竹芽别名幼竹。
4648,UgwnL6Vi6HOznoVPZxJ4AaABAg,4,how has nobody mentioned the face she pulls when she pulls out the fermented bamboo at 6:50 and smells it. just brilliant,当她在6:50拔出发酵的竹子并闻起来时，没有人提到她拉的脸。只是辉煌的
26704,UgyJprudB1KaWiqafxN4AaABAg,4,seeing this thinks of foreigners' views on our chinese. bamboo can still eat really can't laugh and laugh,看到这个想起来了老外对我们中国人的看法。竹子还能吃
32756,UgwHEmsrIF3V-dmIWWB4AaABAg,4,"bamboo shoot is my favorite food. mouth watering. i wish i could visit your place someday. 
your videos inspire me so much","竹头是我最喜欢的食物。垂涎三尺。我希望我有一天能参观您的住所。
您的视频非常激发了我的灵感"
34910,Ugxd1fj5oUcbTKEH1WN4AaABAg,4,"as i got notif for this new video, i literally left some cooking vid i was watchin! and luckily, it's the season for bamboo shoots here in the philippines. gotta try those recipes and dry some shoots too before it's off season. ^^",当我收到这个新视频的通知时，我实际上留下了一些烹饪视频，我正在看！幸运的是，这是菲律宾这里竹back芽的季节。要尝试这些食谱，并在淡季之前也要干燥一些芽。 ^^
29409,UgzXi0RmYOltJYqh1d94AaABAg,4,bamboo shoot is love and is my all time favourite.i miss home whenever i see or even hear about bamboo shoot,竹拍是爱，是我一直以来最喜欢的。我想念家时，无论何时见到竹芽
32100,Ugweb-BontLqlBEp0ox4AaABAg.8yV-mhPshWV8yV3H_OgRhB,4,jwngsar narzary bamboo shoots fried meat,JWNGSAR NARZARY 竹笋炒肉
33730,UgxVyS9zT1leGf1dJWV4AaABAg,4,"wooowww... that's a big bamboo shoot....
edited:i always waiting your video sweety...... good job","wooowww ...那是一个很大的竹拍。
编辑：我总是在等你的视频甜蜜……好工作"
31574,Ugz_tRAOe-Whc8_F-314AaABAg,4,watching your videos is so relaxing . bambooshoot is my fav,观看您的视频是如此放松。 Bambooshoot是我的最爱
29450,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yah6grt-cp,4,boyu xu: there is a lot of bamboos out there and she only get a tiny piece of it. i bet you don't know the word called sharing. don't be none sense!,Boyu Xu：那里有很多竹子，她只得到了一小部分。我敢打赌，您不知道称为共享的单词。不要没有任何感觉！
5137,UgwwsRdOvJnm4684O994AaABAg,4,"new subscriber here. i was raised in the farm and i appreciate your videos that reminds me of my childhood! bamboo shoots, the snail that i like etc",这里的新订户。我在农场长大，感谢您的视频使我想起了我的童年！竹芽，我喜欢的蜗牛等等
22985,UgygG2oDEhWd8ba5dWB4AaABAg,4,you can eat bamboo that grew up like this,你可以吃这样长大的竹子
29520,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58y_Vp25IgEp,4,that thing from bamboo and all food....we eat that here in northeast india too♥️,竹子和所有食物的东西。
34326,UgykDos0OqGt0YwQoK54AaABAg,4,the first time i saw such a big bamboo shoot! rural life is a happy lifestyle!,第一次见到这么大的竹笋！田园生活是幸福的生活方式！
1198,Ugztt-r-lcNw6WvQzVp4AaABAg,4,"when i was young, i didn't like to eat bamboo shoots. later, i watched the video of li ziyi and started to improve slowly.",小时候是不喜欢吃笋子的，后来看了李子柒的视频，开始慢慢改善了
5361,UgwsmXrqPOKs20XxSZt4AaABAg,4,would love to walk through that bamboo forest...beautiful.,很想穿过那条竹林...美丽。
32046,Ugx3Dkla4j-KJ2GiT994AaABAg,4,one of my fave soup is made from bamboo shoot,我最喜欢的汤是用竹芽制成的
30708,Ugw1G6gxoUJBx0igcH94AaABAg,3,i love bamboo shoots...stir fry with garlic and pepper,我喜欢竹芽...用大蒜和胡椒粉炒
7849,UgzbZsdwFVGgHSA12yl4AaABAg.9CNVtbLkub_9DH-MwbRoF8,3,"bamboo shoot recipe from north east india
https://youtu.be/evz3638u-8u","来自印度东北部的竹拍配方
https://youtu.be/evz3638u-8u"
24873,Ugztyhladsn-4Os-RXR4AaABAg.8zCPoRecLit8zNvVsv5tBX,3,"nuoo, well, i think bamboo forrest is just really suitable for snake kingdom, ifk, i watch news about people found about 80 snake in bamboo forrest, i just traumatized with that",nuoo，好吧，我认为Bamboo Forrest真的适合蛇王国，IFK，我看了有关人们在Bamboo Forrest中发现大约80条蛇的消息，我只是对此造成了创伤
27305,UgwiWPXZREbmOqJ7aoB4AaABAg,3,"to save bamboos family, in india, cutting bamboo shoot is banned. if anyone cut then they will be jailed. thanks.",为了拯救印度的竹式家庭，被禁止剪裁。如果有人削减，那么他们将被判入狱。谢谢。
12197,UgwpBLWVOtLDc5RF9Tl4AaABAg,3,"0:15 ""little bamboo! little bamboo!""",0:15“小竹！小竹！”
10788,UgxAEMJFwgeqR7mkdwl4AaABAg,3,"as soon as i saw the bamboo shoots digging bamboo shoots, i thought of quannan village battle, and the string ~",一看到挖竹笋我就想到了全南村霸，串台了~
18651,UgyR78zfrNUemnz43VJ4AaABAg,3,"mother -in -law, you see, this bamboo shoot is bigger than my brain, hahaha",婆婆，你看，这个笋子比我脑壳还大，哈哈哈
26571,Ugxjqt0RqttyV9f0V_N4AaABAg,3,"this bamboo shoot is really big, enough for me to eat a meal.",这个笋真大，够我吃一顿的
24281,UgzNBeSTJ6MnSuwf_mR4AaABAg,3,don't eat a lot a lot of a lot of bamboo cos,不要吃很多竹子
33032,UgxQu7BUCyV71sy_XYF4AaABAg.8yUhf0M8vfE8yUxuaZDLfc,3,"@eugenediengdoh252 we call that bamboo shoot ""usoi"" lol..""tharoi""",@eugenedienengdoh252我们称竹芽为“ usoi”大声笑。
11237,UgzwXK3UYyblUdcutaJ4AaABAg,3,isn't it hard to take it? bamboo shoot,不难接受吗？笋
32775,Ugy_hv9x1j8WcLgZnNF4AaABAg,3,"is it china and moso bamboo? _ (: 3 ""∠) _
the bamboo shoots are delicious. i cook and eat when i have a bamboo bamboo in my house. ume
however, the situation is quite different from the bamboo bamboo shoots ('・ ω ・ ｀) the density seems to be high.","是中国和莫索竹子吗？ _（：3“∂）_
竹芽很美味。当我家里有竹子时，我做饭和吃饭。梅
但是，情况与竹竹芽（'・ω・）完全不同，密度似乎很高。"
5116,UgzHapYJAbmcj4eq3kt4AaABAg,3,"ok i have watch different recipe on bamboo shoot,from sros ,her and 2 other asians girl but the varieties but the complex and varieties in her channel is unique to her ,and yes i found a different cooking with the same ingredients. although they are all asians.that is beautiful.",好的，我看过与Sros，她和其他2个亚洲女孩的竹脚芽的不同食谱，但是品种，但是她的频道中的复杂和品种对她来说是独一无二的，是的，我发现了另一种用相同的食材烹饪。尽管他们都是亚洲人。这很漂亮。
11015,Ugyt1BdcUkkL8c_JLLF4AaABAg,3,i remember that i just peeled the bamboo shoots and itching.,我记得我就是剥了竹笋搞的手痒痒
25209,UgzNnqza7p-ZJfKPeql4AaABAg,3,"bamboo shoots are so old!
by the way, there are a lot of english below. essence essence
mom! i can't understand!
forget it! miss sister, come on ~","竹笋好大一个呀!
话说下面好多英语。 。 。
妈!我看不懂!
算了!小姐姐加油~"
23436,UgxrrZFcYR70LlUJ8cp4AaABAg,3,we r chinese descendant indians. we make variety of pickle from bamboo shoot. i nvr thought anyone would get this idea of eating bamboo shoot beside us,我们是中国后裔印第安人。我们用竹芽制作各种泡菜。我认为任何人都会得到这个在us
13355,UgyRtTu-0NKRTW1fSiJ4AaABAg,3,gosh i love bamboo shoots! i'm hungry all over again just by watching this video ahh ✨,天哪，我爱竹芽！我只是看这个视频啊，我又饿了
34104,Ugw874XV3Qcz_5mlfTR4AaABAg,3,young bamboo is very delicious. this video makes me remember my childhood in countryside. thank you and regard from indonesia,年轻的竹子很美味。这个视频使我记得我在乡村的童年。谢谢印度尼西亚的敬意
2663,Ugw6yTwn-CyeZ2Ba1nh4AaABAg.9Rr4ZZ-80V49nfm2CiWBJu,3,"only bamboo shoots are edible, once they've grown they only are if you're a panda.",只有竹芽是可食用的，一旦它们成长，只有当您是熊猫时才。
21928,UgzCV33VEq2Qsj9qXgN4AaABAg,3,you should let the bamboo in water 1-2 days then cook it.,您应该让竹子在水中1-2天，然后煮。
20692,UgyXNAYXxnyyMhS_gyV4AaABAg,3,i miss the season of bamboo shoots damm they taste soo good,我想念竹芽的季节，他们的味道很好
33903,Ugw29EMt4n2H7wQ-NSN4AaABAg,3,"familiar food that i know
1. bamboo shoots
2. quail eggs
3. kale
4. long beans
5. vermicelli
6. snail","我知道的熟悉的食物
1.竹芽
2.鹌鹑蛋
3.羽衣甘蓝
4.长豆
5. Vermicelli
6.蜗牛"
935,Ugzj3mOdBOjHgbn6Wr94AaABAg,3,wow! ziyi has a big bamboo shoots so big! grandma's smile is really cute with zi yan!,哇！子柒自己种的山笋好大一颗喔！奶奶的笑容陪伴着子柒真的很可爱喔！
21448,UgzJjwAdf_P0IKr7MEZ4AaABAg,3,"honestly, i didn't think bamboo shoots were that big",老实说，我认为竹芽不是那么大
3088,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9S1D6jvsK7s,3,@seleniumsel hai sorry for the late reply. there are alof of types of bamboos. some can be eaten (bamboo shoots) and some are just for fengshui or garden decorations. my knowledge is quite limited to knowing their types.,@Seleniumsel hai对不起，回复了。有很多类型的竹子。有些可以吃掉（竹芽），有些只是用于风水或花园装饰。我的知识非常限于了解他们的类型。
19730,UgzVS7T9L6ZvmNwHNOF4AaABAg,3,can't imagine anyone would dislike this video. it's so satisfying to watch her get those bamboo shoots and pluck the mushrooms!,无法想象有人会不喜欢这段视频。看着她得到那些竹芽并拔出蘑菇真是令人满意！
4026,UgyGXFz2hcbNz_dv0h54AaABAg,2,"in nepal, we call that bamboo root as tama. it is sour plus has a very good fragrance. here is a superstition that tama shouldn't be cut by the people having children as it is said that cutting the tama is like killing your son or daughter. so, only people who doesn't have child could cut them!",在尼泊尔，我们将那个竹根称为多摩。它是酸味加的香水非常好。这是一种迷信，认为生孩子的人不应该削减多摩，因为据说割草就像杀死您的儿子或女儿一样。因此，只有没有孩子的人才能割伤他们！
17623,Ugy8_drWdVCcrpXhotR4AaABAg.92iOjyLRCpT92ohKZCFOlQ,2,"bamboo shoots grow to the ground so big,
i won't eat it here,
we went to dig bamboo shoots, and we all found half of the small pointed tip in the deciduous pile.
placing the soil, and the bamboo shoots dug out there are called tender and sweet.","竹笋在地面上都长到那么大个，
在我们这儿就不会吃它了，
我们去挖竹笋，都是找落叶堆里刚冒出半个小尖头的，
把土刨开，，那里头挖出来的竹笋，才叫一个鲜嫩甘美。"
3085,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9RMHA2NKopz,2,what is the name of this particular type of bamboo? anybody please?,这种特殊类型的竹子的名称是什么？请有人吗？
4144,UgxwsjD0HeqFZRRKORp4AaABAg,2,"young bamboo ntu if here is the name of a bamboo shoots)) used to be cooked by my mom using santen so there are tasty sauce, just see siiih sauce like this as interesting to try ,,",年轻的竹ntu，如果这是竹芽的名字））曾经由我妈妈用桑登煮熟，以便有美味的酱汁，只需看到像这样的siiih酱
9241,UgyiNUY9ElRSNXAR4_x4AaABAg,2,amazing beautiful nature living bamboo very famous in thailand too some of thai cuisine also the same as chinese cuisine and we have also china town in thailand alot of chinese people live in thailand i really love your video and it look so beautiful nature living god bless you,令人惊叹的美丽大自然活着的竹子在泰国也很有名的泰国美食也与中国美食相同，我们在泰国也有中国小镇，很多中国人都住在泰国
5984,UgxkTI4XZDH1im4hCRt4AaABAg,2,one of the reasons why i sooo love this channel is because it reminds me of my childhood. i remember we had bamboo plants in our backyard and my parents would cook the best bamboo shoot in coconut milk on earth! ๐ฅฐ,我如此喜欢这个频道的原因之一是因为它使我想起了我的童年。我记得我们的后院有竹植物，我的父母会在地球上用椰奶烹饪最好的竹芽！
