,cid,votes,含china,含china中文翻译
19964,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92H1TAzhzus,6,"@sachamuller4624 i come from china. i know there are many stupid person in china. when they see someone is better than them, they will attack the person on the internet.",@sachamuller4624我来自中国。我知道中国有很多愚蠢的人。当他们看到某人比他们更好时，他们会在互联网上攻击该人。
17634,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92pdlxABdnZ,6,i watched the video posted by the chinese website on the us website on china on china,我在中国用美国的网看中国人在美国网站发的视频
19128,UgzRqph8HRD1OOPR21B4AaABAg.924nNuIUno992C9NGyDhMR,6,"this is not the china that cnn, bbc, falungong etc, talk about",CNN，BBC，Falungong等不是中国谈论
16618,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H933xdivh5rt,6,"“li lives with her grandmother in the countryside of mianyang in southwest china's sichuan province.[8] she was orphaned at a very young age. as a young adult she lived in the city, making a living by working as a music dj. when her grandfather died, she moved back to take care of her grandmother. accordingly, her online videos are produced using a personal assistant and a videographer. she adopted two dogs into sichuan province and chose to be unmarried and childfree.” wikipedia",“李与她的祖母住在中国西南四川省的迈阳的乡村。[8]她很小的时候就被孤儿院。作为一个年轻的成年人，她住在这座城市，以音乐DJ工作为生。当她的祖父去世时，她回去照顾祖母。因此，她的在线视频是使用个人助理和摄像师制作的。她将两只狗收养到四川省，并选择未婚和免费。”维基百科
24622,UgzL01clMKAvXNSWIZV4AaABAg,6,"my mother was born in china, and a lot of what you shoot is my family dishes, thank you, it is so pleasant to watch",我的母亲出生在中国，您拍摄的很多是我的家庭菜肴，谢谢，看着这真是令人愉快
11403,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97v18fuVoNF,6,"logicone did you even know what a weeb is? people like you? lol 

haters like you are always haters as you only believe what you think so. she does it successfully and somehow show us the beautiful parts of china ( and of course that won’t be the whole of this nation). of course the authority would like to take advantage of it and why won’t they? did she even mention anything good about china in any of her videos? no. she only shows her works and people like them. that’s all. 

you didn’t see how her works started to go viral from the scratch in the past because of her diligence but only see she makes lots of money now because of these elaborate works. what a shame! 

well, since you have used the term “propaganda”, i somehow understand now. you might be just one fo the haters against china, which making you think whatever comes from china is a fake, especially when the authority of china also admires them. i have no issues about that. it’s ok. it’s your freedom. but, don’t claim you did the research. liar!","逻辑您甚至知道WEEB是什么？人们喜欢你吗？哈哈

像您这样的仇恨者永远是仇恨者，因为您只相信自己的想法。她成功地做到了这一点，并以某种方式向我们展示了中国的美丽地区（当然，这不是这个国家的整个国家）。当然，当局想利用它，为什么不这样做？她甚至在任何视频中都提到了关于中国的任何好处吗？不，她只会展示她的作品和喜欢他们的人。就这样。

由于她的勤奋，您看不到她的作品过去如何从划痕开始流行，但只能看到她现在赚了很多钱，因为这些精致的作品。真丢脸！

好吧，由于您已经使用了“宣传”一词，所以我现在以某种方式了解。您可能只是仇恨中国的人，这使您认为来自中国的任何东西都是假的，尤其是当中国的权威也钦佩他们时。我没有问题。没关系。这是你的自由。但是，不要声称您进行了研究。说谎者！"
19913,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx91tlZ1aK1ZF,6,"david hutchins not everything has to do with politics. some people just can’t enjoy a nice video of a beautiful girl who cooks delicious food in a beautiful village. btw china is a big country, there’s plenty of capable people. we can fool ourselves, but not the whole world.",大卫·哈钦斯（David Hutchins）并不与政治有关。有些人只是无法欣赏一个漂亮的女孩，一个漂亮的女孩在一个美丽的村庄里烹饪美味的食物。顺便说一句，中国是一个大国，有很多有能力的人。我们可以自欺欺人，但不能自欺欺人。
16908,UgwkOVUO2hyyb75qMtt4AaABAg,6,"for the first time, i accidentally resonated and truly reflected the daily life of rural people. it reminds me of the flat and real years i walked in the countryside when i was a teenager ...
rural china is the root of our chinese culture! intersection","第一次无意间睇到，甚有共鸣而真实反应了农村人的日常生活，令我想起少年时，自己在农村走过的平淡又实在的岁月……
中国农村，就是我们中华文化的根！ ！"
26877,UgyIms1hOLaWVF7KU-t4AaABAg,6,"the western media often report that china is a terrible country. the government is very dictatorial, and always bully people, such as hong kong, xinjiang, and tibet. but china is very vast with 56 different nationalities, they also have a lot of social problems, but the government is working hard to solve it and narrow the gap between the rich and the poor, they try to make the chinese live better. i have lived in china for 35 years, the chinese are lovely and kind, they are peaceful, work hard and enjoy life, that's why the chinese love to cooking food so much!",西方媒体经常报告中国是一个可怕的国家。政府是独裁的，总是欺负人，例如香港，新疆和西藏。但是中国非常庞大，有56个不同的国籍，他们也有很多社会问题，但是政府正在努力解决这个问题，并缩小富人与穷人之间的差距，他们试图使中国人的生活变得更好。我在中国生活了35年，中国人既可爱又善良，他们宁静，努力工作并享受生活，这就是为什么中国人喜欢这么多烹饪食物的原因！
27510,Ugx9pwB5zKaXAcvofKl4AaABAg.8ye2BsPtesT8yiuiD248AX,6,"@leviathan ,
yes, you can use youtube in china. many people in china use vpn.","@leviathan，
是的，您可以在中国使用YouTube。中国许多人使用VPN。"
5419,UgzopX7Yr44Dc0Gv2cZ4AaABAg.9GVsPeHCDNu9H3mB1Hc2J-,6,"so true, i saw this in a china museum like that knife , so funny.",是的，我在像那把刀这样的中国博物馆里看到了这一点，真有趣。
29526,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58ybM8GB1Lvn,6,"@rakshapaudel6776 please don't mind of 蘭瑟láncè.
he is a guy from republic of china（taiwan province）, not from people republic of china（mainland china）.he is a guy trying to broken the relationship between china and nepal.a bad guy","@rakshapaudel6776请不要介意láncè。
他是来自中国共和国的一个人（台湾省），而不是来自中国人民共和国（中国大陆）。他是一个试图打破中国与尼泊尔之间关系的人。"
27545,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqNf6on3G3,6,apt215 melissa brown it's just your prejudice.this type village is too normal in china and also the lifestyle.if you don't believe just have a visit to yunnan sichuan guizhou hunan province.,APT215梅利莎·布朗（Melissa Brown）只是您的偏见。这种类型的村庄在中国和生活方式都过于正常。如果您不相信只能参观Yunnan Sichuan Guizhou Hunan省。
19979,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92UJia27S48,5,"@user-fh4rc2by4x thank you. i agree with your positive comment. i grew up in south china in the countryside. in those 1950 and 1960 years, my parents and siblings all worked hard in planting crops as ms. li for subsistence until my brothers and i could pick up part-time jobs to help with family finances. i believe ms. li is a real country girl who has great potential to become a brilliant star, which she did. some people chose not to believe her, which is ok since we all have the freedom of belief and choice. please pardon me for using english as i am old and type chinese very slowly; english is my daily medium at work, in north america.",@user-fh4rc2by4x谢谢。我同意您的积极评论。我在中国南部在乡村长大。在1950年和1960年的那段时间里，我的父母和兄弟姐妹都在努力种植农作物作为李女士的生存，直到我和我的兄弟们可以兼职工作来帮助家庭财政。我相信李女士是一个真实的乡村女孩，她有很大的潜力成为一颗辉煌的明星，她做到了。有些人选择不相信她，这是可以的，因为我们都有信仰和选择的自由。请原谅我使用英语，因为我年纪大了，并且非常缓慢地键入中文。英语是我在北美工作的日常媒介。
30244,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38z3VwIoApuW,5,"colin seet it depends on which part of china you are talking about. in much of sichuan where ziqi is from popo means paternal grandma, and waipo refers to maternal grandma.",Colin Seet取决于您正在谈论的中国哪一部分。在Ziqi来自Popo的大多数四川，是父亲的奶奶，Waipo指的是母亲奶奶。
4349,UgyzNLitPWRTTdMT6rl4AaABAg,5,"my wife is from guangzhou china. so cute, lovely and super smart. i love china ~ ^0^",我的妻子来自中国广州。如此可爱，可爱和超级聪明。我爱中国〜 ^0 ^
34633,UgwqWCAg5TNWC98tF3J4AaABAg,5,"the feast of all muslims is correct in china on the occasion of eid al -adha, ...",在开斋节时，所有穆斯林的盛宴在中国都是正确的。
33299,Ugy85YO3qXnxpbH4XW54AaABAg,5,"i just saw that you put on shuxiu's clothes and were rated as chengdu intangible cultural ambassador. when i returned to china, i would like to take my child to see where you live?",刚刚看见你穿上蜀秀衣服被评为成都非物质文化大使，等我回国我想带孩子来看看你生活的地方可以吗 我们全家都好喜欢你
18671,UgySH-KJUzmieL_m5c54AaABAg,5,i live in the countryside of northern china。my wife is almost like her。don't be jealous,我住在中国北部的乡村。
17133,UgyTRI0spDFjmAXU5N94AaABAg.92nbZezvUnI92rr0lwgFC9,5,"mianyang, size, china. home of panda.","Mianyang, Sichua, China. Home of Panda."
19084,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392IbfbEjWaW,5,"wow, i don't understand all of these negativity. i don't know is any of you able to travel to other countries and continents, but i've been to so many countries and cities, even in the places that are in the third red zone of travel safety, and i still enjoyed my trips and vacations. you can be at home and something bad can happen. what is meant to be will happen. my life goal is to visit the whole world, to meet the people, learn from their own culture, try all the food, even the crazy ones and will definitely do that. so like i've said, china, japan or korea is next on the list.",哇，我不明白所有这些消极情绪。我不知道你们都可以前往其他国家和大洲，但是我去过许多国家和城市，即使在旅行安全的第三红色地区，我仍然很喜欢我旅行和假期。您可以在家，可能会发生一些不好的事情。将要发生的事情将发生。我的人生目标是拜访全世界，与人民见面，从自己的文化中学习，尝试所有食物，甚至是疯狂的食物，肯定会做到的。因此，就像我说的那样，中国，日本或韩国是下一个。
