,cid,votes,time,含china,含china中文翻译
43903,UgyvvciMRf8_achl4HN4AaABAg,19,4 years ago,"stunning videos! i love this girl! i traveled a lot in china and with great pleasure i plunge into this calm, peaceful atmosphere of rural life. as we all, in our time, do not have enough enjoying our life, pleasure from our work, skill will focus on the beautiful present! thank you! !",令人惊叹的视频！我爱这个女孩！我在中国旅行很多，很高兴我陷入了这种镇定，宁静的乡村生活的氛围。在我们时代，我们所有人都没有足够的享受，我们的工作很高兴，技能将集中在美丽的礼物上！谢谢！
16377,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G98rRJFgPtSt,18,3 years ago (edited),"@skylerx i know, that’s what makes it all the more stupid. i saw an innocent video of a guy in china eating street food and almost all the comments were racist. saying stuff like ‘oh when are they gonna bring out the bat soup’ ‘chinese people are animals, eating anything that walks’ stuff like that.
i really don’t understand how people can be so ignorant.","@skylerx我知道，这就是使它变得更加愚蠢的原因。我看了一个无辜的视频，其中一个人在中国吃街头食品，几乎所有评论都是种族主义者。说诸如“哦，他们什么时候要带出蝙蝠汤”之类的话“中国人是动物，吃任何走路的东西”类似的东西。
我真的不明白人们如何如此无知。"
30508,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xD9kKXvBlV,17,3 years ago,"odee not for foreigners, she dont need to, she just put her video on youtube as a copy, and no gov helped her, becaus youtube is forbidden in china!",她不需要外国人，她只是将视频放在YouTube上作为副本，没有政府对她的帮助，因为中国禁止YouTube！
12625,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9CyWIiK-eRT,16,2 years ago,love china very much,非常爱中国
27202,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zdLxnZFQ1k,15,3 years ago,"@newsionl6092 now 5g, technology is far advanced in china nowadays",@newsionl6092现在5G，技术在当今中国的进步远非
25023,Ugz5_RVUlBvKkof9cnh4AaABAg.9-w_32pW4v890_fzY7TuKt,15,3 years ago,"ashish srivastava only couple of city is polluted, with no doubt western media saying most of chinese cities got polluted, because they hate china. u never know the truth unless u touch it. so welcome to come visit china!",Ashish Srivastava只有几个城市受到污染，毫无疑问，西方媒体说，大多数中国城市被污染，因为他们讨厌中国。除非你触摸它，否则你永远不会知道真相。因此，欢迎来参观中国！
45781,UgxyF6EtxppIRP5tSul4AaABAg,15,4 years ago,"does she live in heaven?
if this is china, i hope to leave india and obtain citizenship in china.","她住在天堂吗？ 
如果这是中国，我希望离开印度并在中国获得公民身份。"
51038,UgwOY6_RorHhx71sZid4AaABAg,15,4 years ago (edited),"oh my gosh, she used music from the digimon soundtrack. makes sense since digimon is quite popular in china.",哦，天哪，她使用了Digimon配乐中的音乐。由于Digimon在中国很受欢迎，因此很有意义。
7386,UgzczK4U63zaEs2u7k94AaABAg,15,2 years ago,"there is a saying in china: sk invents everything, but china invents sk.
lol","中国有句话：SK发动了一切，但中国发明了SK。
哈哈"
17479,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa981XxoZut13,15,3 years ago,zamir shaikh we don't eat. i'm chinese. the bat eating guy in vedio is from taiwan who is the dogs of america. this virus not from china. and now the data shows the birthland. haha,Zamir Shaikh我们不吃。我是中国人。韦迪奥（Vedio）的蝙蝠吃家伙来自美国狗的台湾。这种病毒不是来自中国的。现在，数据显示了生物。哈哈
45809,Ugzy9rPUz8q2E9HXVXt4AaABAg,14,4 years ago,i love china tradition,我爱中国传统
25299,UgxpiJzgA6cyWozX9R54AaABAg.9-UPeufRcwn9-bxyofC55y,14,3 years ago,"those who hate china with no direction, like american politician and those who follow their step, like australian politician.",那些没有方向而讨厌中国的人，例如美国政治家和那些跟随他们的步骤，例如澳大利亚政治家。
31787,UgxL-fjCbDcECDnrR6N4AaABAg.8w3uKmhPnnN8wi7CVyDk_J,14,3 years ago,@elinwinblad there is no private land ownership in china. hence no property tax in china. each individual has the right to use the land for 70 years.(about your life time.),@elinwinblad在中国没有私有土地所有权。因此，中国没有财产税。每个人有权使用土地70年。（关于您的寿命。）
27705,UgyBT_uobGddYNwbPmB4AaABAg.8z8aAC7Hduu8zGavv7TlHj,14,3 years ago,"it's called sichuan, a place in china. its also my hometown too :3",这就是四川，在中国的一个地方。它也是我的家乡：3
3702,UgyfvU5uUvcOG9HtmJJ4AaABAg,14,1 year ago (edited),"very nice video! i like the funny dog so much! i'm so happy to see ""tang hu lu"" candies i like this so much when i was in china. awesome people and things in china. thanks liziqi to remember me the great time i had in your country!",非常好的视频！我非常喜欢有趣的狗！我很高兴看到我在中国时非常喜欢的“ Tang Hu Lu”糖果。令人敬畏的人和中国的事物。感谢Liziqi记得我在您国家度过的美好时光！
30529,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHhTbtbPLL,13,3 years ago,"@odee126 man you're just brainwashed by west propaganda. this girl made videos on china's website such as bilibili far more early than youtube along with other video makers. they join youtube because of competition and the huge benefits. another reason is that almost every village of china now connects to 4g, so you see more villager using youtube and upload videos now. talking about their tool vpn, it is legal to use but illegal sell it, we have no problem if we just use it. furthermore, this is also not a better image of china, the real better image of china is an advanced, tech-originated country which we are going to meet soon lead by our government. so i am pretty sure that there is no national support for this kind of videos, it is just your own imagination based on the bias to china and anti-china's west propaganda you've received in decades.",@odee126男人，你只是被西部宣传洗脑了。这个女孩在中国网站上制作了视频，例如比利比利（Bilibili）和其他视频制作人更早。他们由于竞争和巨大好处而加入YouTube。另一个原因是，中国几乎每个村庄现在都连接到4G，因此您现在看到更多的村民使用YouTube并上传视频。谈论他们的工具VPN，使用合法，但非法出售它，如果我们只使用它，我们就没有问题。此外，这也不是中国更好的形象，中国的真正更好形象是一个先进的，以技术培养的国家，我们将很快见到政府的领导。因此，我很确定没有国家对这种视频的支持，这只是您自己的想象力，基于对中国的偏见和您几十年来您收到的反中国的西方宣传。
17481,UgwjwUJ64AMEJt0Mruh4AaABAg.97qWS9tSYQa981fgIU0NJv,13,3 years ago,zamir shaikh people do not eat our pet dog. by l want ask a question. why not you people blame america's killing innocent people in middle east country rather this issue that not true in nowaday china?,Zamir Shaikh人不吃我们的宠物狗。我想问一个问题。您为什么不指责美国在中东杀害无辜人民而不是当今中国不正确的问题呢？
45187,UgzTCXyKQeyX7chJclt4AaABAg,13,4 years ago,keep making this traditional videos because i love china and i love chinese tradition also there is no such thing that i don't like about china,继续制作这些传统视频，因为我爱中国，而且我爱中国传统也没有我不喜欢中国的事情
32495,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18yefOgk6Uw4,12,3 years ago,ultramaryna00 are you kidding ๏ผshe is famous in china who shares her own life with peopleโ€ฆ by the way.she is not an actress.it's her real life,您在开玩笑的Ultramaryna00在中国著名，她与人分享自己的生活……顺便说一句。她不是女演员。这是她的现实生活
30507,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xAPN8Pmsod,12,3 years ago,the video (and many other) is purposely made to look appealing to foreigners to create a better image of china. theyre state sponsored.,该视频（以及许多其他）是故意使外国人有吸引力的，以创造更好的中国形象。他们国家赞助。
23459,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92W7XVTfPXL,12,3 years ago,"@pitsonsfather84, are you so good, is it strong? what happened to i come out to study? are you proud? what about lz is more rich than you? china is rare to make foreigners impressed by foreigners? niu jie niu",@pitsonsfather84 你好厉害熬，翻出来很强？我出来读书怎么了？你很骄傲？lz比你有钱怎么样了，中国难得一个youtuber让外国人好印象不好？牛逼牛逼
