,cid,votes,time,含chinese,含chinese中文翻译
18465,UgxjAa_JW6Q6Li2P4Kl4AaABAg,9,3 years ago,"in the future, i have to call ""international"". the first page has no chinese comment. i don’t think so many ""friends"" like you.",以后得叫“国际柒”了 第一页没有中文评论 想不到竟然这么多 “友人”喜欢你
18825,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792W40Z1Rc2U,9,3 years ago (edited),@oriolopocholo i’m chinese and live about 100km where she’s from. see i’m using youtube and even have a bloody gmail. i’m sick of ignorant people put the ccp propaganda hat on everything from china. have you ever thought about why you would think her videos which have absolutely nothing to do with political were propaganda organized for political purposes? could that be the idea was seed in your mind by other propagandas?,@oriolopocholo我是中国人，她的住所约100公里。看到我正在使用YouTube，甚至有血腥的Gmail。我讨厌无知的人在中国的所有事物上都戴上了CCP宣传帽子。您是否曾经想过为什么您会认为与政治无关的她的视频是出于政治目的而组织的宣传？其他宣传在您心中可能是种子吗？
18228,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gO_vJWCvr,9,3 years ago,"lucy chan you need a real chinese to show you the good food and good restaurant in china, not just join to a visiting tour. the food they provided is always terrible.",露西·陈（Lucy Chan），您需要一个真正的中国人来向您展示中国的美味佳肴和美味餐厅，而不仅仅是参加访问。他们提供的食物总是很糟糕。
10712,Ugx79jz9tMzg20_2tst4AaABAg,9,3 years ago,"this is the ideal chinese country style, full of natural and pioietic splender. for gods sake i want to marry this girl.....",这是理想的中国风格，充满了自然和野性剪接。为了神的缘故，我想嫁给这个女孩.....
18915,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92LkK8kNJDc,9,3 years ago,"i really hope that many domestic ups can tell chinese stories and spread chinese culture in youtube. alas, how foreigners understand the essence of chinese, they are just curious.",真希望国内众多up主能在youtube讲好中国故事，传播中国文化，唉，中华之精髓外国人怎么懂，都只是好奇。
29517,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58y_Crc9NTCv,9,3 years ago,蘭瑟láncè dude are u even from china. don’t say nonsense to humiliate ur fucking country. it’s already humiliating enough for me to be chinese.,láncè的家伙甚至来自中国。不要对羞辱您他妈的国家说废话。它已经羞辱了我，让我成为中国人。
21804,Ugy9dqXp8LnX4nH-tM94AaABAg.9-WHSV2cBSL9-nFLrv2UdE,8,3 years ago,@thegggttt did you ever come to china or know about chinese??? i am assuming that your answer is not. so how dare you insult china by the fake news? you stupid troll who just trust what you want to trust.傻逼玩意儿,@TheGGGTTT您是来中国还是知道中文？？？我假设您的答案不是。那么，假新闻您怎么敢侮辱中国呢？你愚蠢的巨魔，谁只是相信你想信任的东西。
4387,UgwKc5tWeET21uO_gW14AaABAg,8,2 years ago,chinese black fungus! so jealous! you make beautiful and relaxing videos ❤️,中国黑真菌！如此嫉妒！您制作美丽而轻松的视频❤️
28577,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-2x0dB4dS5,8,3 years ago,franz peters you cannot understand even one chinese character.,弗朗兹·彼得斯（Franz Peters），您甚至无法理解一个汉字。
1110,UgxTwznbq3X1y6Ix0IF4AaABAg,8,1 year ago,"i came here to support li ziyi. the video was really beautiful. moreover, li ziyi truly reflects the state of the older generation of chinese people. in fact, at that time, the supplies were relatively scarce, but they lived well. i hope our country is getting stronger and stronger.",我是专门来支持李子柒的，视频真的拍摄的太美了。而且，李子柒真实反映了老一辈中国人自己自足的那种状态，其实那个时候物资相对匮乏，但是，生活过得有滋有味。希望我们的国家越来越富强。
17385,UgzpONnO8ysIUopexzB4AaABAg.92knIKq5sJf92qvv5LN4Ku,8,3 years ago (edited),"@tanle-dx6uw truth is, most chinese people love their government for the achievements they made. sometimes it is better to just experience instead of adopting everything from the media.",@tanle-dx6uw真相是，大多数中国人都喜欢他们所取得的成就。有时最好只是体验而不是从媒体中收养所有内容。
30856,Ugzf-Ba_7Ta567eN_m94AaABAg.8yVRdEXYJ4y8yVag7Eb3wW,8,3 years ago,it's not she find a way to preserve it. chinese ancestors find this way. we learn it from one generation to another^_^,她并不是找到保存它的方法。中国祖先找到了这种方式。我们从一代到另一代^_^学习它
30901,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yu3Or1W6C2,8,3 years ago,"bramha's astra but if they went to their garden and grabbed those ingredients, chopped them up, put dressing or grilled them or something itd be cooking right? lol idk why you think there needs to be a 30 step process for it to be real cooking, or take a long time, or prepared from scratch. this girl is amazing and talented, but do you think most chinese people cook like that? japanese people? italians, etc? plenty of people just season their foods, stir-fry them, and eat because theyre not fixing complicated full-course meals. cooking does not need to be complex. idk why youre convinced it does...",布拉姆（Bramha）的阿斯特拉（Astra），但是如果他们去了花园，抓住了这些食材，将它们切碎，放敷料或烤它们，或者它可以烹饪的东西吗？大声笑IDK为什么您认为需要有30个步骤才能真正做饭，或者花很长时间或从头开始准备。这个女孩很棒又有才华，但是您认为大多数中国人都这样做吗？日本人？意大利人等？很多人只是调味食物，炒食物并吃饭，因为他们没有修复复杂的全书餐。烹饪不需要复杂。 idk你为什么说服这是...
15392,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss96k-GYBq4p6,7,3 years ago,i think your suspicious minds have made you take this beautiful video and turn it into something ugly because you suspect the worst in everyone and everything......even if it is the work of the chinese government.....does that take away from its cinematic impact? what's wrong with the chinese government making a video that features pride taken in homemade country style soul food cooking ..... what would be wrong if any other country did the same?,我认为您的可疑思想使您摄取了这个美丽的视频并将其变成丑陋的事物，因为您怀疑每个人和一切最糟糕的事……即使这是中国政府的工作.....摆脱其电影影响？中国政府制作的视频有什么问题，该视频以自制乡村风格的灵魂食物烹饪感到自豪.....如果其他任何国家也这样做会有什么问题？
31467,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yVeohLRjAe,7,3 years ago,those views are by chinese bots.,这些观点是中国机器人。
31125,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWJcZa5Dk7,7,3 years ago,"you can put the english subtitles, it gives you an idea of what she's captioning from chinese",您可以将英文字幕放置，它使您了解她的字幕
29521,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58yaiwQwQTzH,7,3 years ago,"@user-ke5rz1cw5d first of all, don't think he's chinese. second of all, what you said is extremely disrespectful.",@user-ke5rz1cw5d首先，不要以为他是中国人。其次，您所说的非常不尊重。
28603,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-zEyLn98f5,7,3 years ago (edited),"@franzpeters3824 ok can you speak chinese?! i'm obviously assuming not, so why would expect her to know the whole english language when she lives in china!!!! please use ur head when u think and talk. obviously, english isnt spoken everywhere or it is not needed when u live in ur home country. so if u r criticizing her for not speaking english what about you? can u speak chinese?! guess not... absolutely hypocritical. i think u r just hating on her cause she is way more talented and successful. she is obviously smarter and skillful. knowing how to make, grow, and take care of these stuff is very hard... which u cant do. who has millions of subscribers again? oh that's right, her! cuz she is such a hardworker, and what do u do come again? smh",@franzpeters3824好吧，你会说中文吗？我显然没有假设，所以当她住在中国时，为什么要期望她知道整个英语！当您想和交谈时，请使用您的头。显然，当您住在您的祖国时，无处不在，或者不需要英语。因此，如果您批评她不说英语，那您呢？你能说中文吗？猜不要...绝对虚伪。我认为您只是讨厌她，因为她的才华和成功。她显然更聪明和熟练。知道如何制作，成长和照顾这些东西非常困难……你不能做。谁又有数百万订户？哦，是的，她！因为她是一个勤奋的人，你又来了什么？ SMH
31094,UgxWvAxOImrsehQXM4F4AaABAg,7,3 years ago,i like chinese culture and cooking,我喜欢中国文化和烹饪
19075,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392E5FxqZwBR,7,3 years ago,"yupppp! asian food is so great!!! ps: i am a chinese and there are still sooooo many different food i got to explore and want to eat in the future cuz there are different representative food found in different region, different city... also chinese food is divided into eight big cuisines, or say, eight styles, such as cantonese food, sichuan food, shandong food, etc. (just too much to say about it",yupppp！亚洲美食真棒！！！ PS：我是中国人，仍然有很多不同的食物要探索并想在将来吃饭，因为在不同地区有不同的代表性食物，不同的城市……也将中国食品分为八种大美食或说八种款式，例如粤菜，四川食物，山东食物等（关于它的话太多了）和您的旅行好运！
19972,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92Oyj7jdNES,7,3 years ago,"you are very smart, just like you said. most chinese people do not go to youtude and li ziyi has 20 million fans in china to like her in china. those who pretend to be chinese who say that those who do n’t like li ziyi are chinese. this is the most ridiculous",你很聪明就像你说的，大部分中国人都不上youtude而且李子柒在中国拥有两千万粉丝在中国很多人喜欢她，那些假装自己是中国人说那些不喜欢李子柒的是中国人，这是最可笑的
