,cid,votes,含chinese,含chinese中文翻译
30510,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xDNjx_I5o1,33,"odee we have youku instead youtube, so we don't have to break the law, her video will first upload to weibo, meipai, tiktok and so on, youtube may be the last one.she is not poor, she worked in city when she was younger, she came to her hometown because her grandma is old and she wants to take care of her. i grew up in the countryside either, and i am working in beijingnow, if i want , i can do the same thing like she did, of course no gov. her team have three people, include her. but she do most things. why do i know this? because i'm chinese, i broke the law, so i can talk to you here, but most time i scan youku , weibo, bilibili, and so on.",ODEE我们有Youku而不是YouTube，所以我们不必违反法律，她的视频将首先上传到微博，Meipai，Tiktok等，YouTube可能是最后一个。她还年轻，因为她的祖母老了，她想照顾她，所以她来到了家乡。我也在乡村长大，在北京那诺工作，如果我愿意的话，我可以做像她一样的事情，当然没有政府。她的团队有三个人，包括她。但是她做大多数事情。我为什么知道这一点？因为我是中国人，所以我违反了法律，所以我可以在这里与您交谈，但是大多数时候我会扫描Youku，Weibo，Bilibili等。
30083,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xWJwu5HPpI,32,"@billymerlin4186 even if she ate dogs, it won't be the ones who company her for so long. besides, chinese breed special dogs for meat. her dogs have different use.",@billymerlin4186即使她吃了狗，也不会是那个陪伴她这么长时间的人。此外，中国繁殖特殊的狗作为肉。她的狗有不同的用途。
40930,Ugwc3Uuun-yX8SjhRq14AaABAg,32,"i don't know if sheep will be eaten, but dogs won't. in rural china, people feed dogs to protect their homes. modern chinese basically don't eat dogs.",我不知道绵羊是否会被吃掉，但是狗不会吃。在中国农村，人们喂狗以保护自己的房屋。现代中国人基本上不吃狗。
48599,Ugx-fy1U_RaFVlXu3fh4AaABAg,32,"to ziqi and to everyone, happy chinese new year! i'm gonna eat some sticky rice cake here on the day of chinese new year",Ziqi和所有人，春节快乐！我要在农历新年那天在这里吃一些粘米蛋糕
37239,UgzDyOGv9HFuNVAYXuh4AaABAg,31,"i have been on youtube for eight years. for the first time i wrote a comment, thank you for showing the traditional chinese things in a beautiful expression. follow you",上youtube八年了，第一次写评论，谢谢你把中国传统东西以唯美的表现出来。关注你
50038,UgxHMaRcAUqVKMIAxIl4AaABAg,31,happy chinese new year <3 love from malaysia,农历新年快乐<马来西亚的爱
48141,UgzT2qrhayRH692PYo94AaABAg,31,heppy chinese new year!!!!,heppy农历新年!!!!
48132,Ugys051YCooFfA4pyaF4AaABAg,30,happy chinese new year,农历新年快乐
27191,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zZ1lnAZSS6,30,"โ€ @jeieldavid6347 for a chinese, 4g there is everywhere.",@jeieldavid6347对于中文，到处都有4G。
51490,UgyobaIqVKJhF0zht0V4AaABAg,30,happy chinese new year,春节快乐
50036,UgyQLkCzrfLZfBONlFh4AaABAg,30,happy chinese new year to li zi qi & lovely popo :),李齐和可爱的popo的农历新年快乐:)
50486,Ugza_lawnWOvC7m3vFt4AaABAg,29,hpy chinese new year!!! greetings from india ✨,hpy农历新年！！！来自印度的问候✨
50685,Ugx0RV8ktB83UZC8OBB4AaABAg,29,"happy chinese new year
i'm from north-east india and our tribe name is karbi... we karbi people also celebrate our new year on 1st february","农历新年快乐
我来自印度东北部，我们的部落名称是卡比...我们卡比人民也在2月1日庆祝我们的新年"
23409,Ugy5QJJmd7Hbh1wJlAN4AaABAg,28,she was preparing for chinese new year.,她正在为农历新年做准备。
50256,UgzEMEDhpwtgD3IMPRF4AaABAg,28,happy chinese new year from indonesia,来自印度尼西亚的农历新年快乐
13413,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CSt_RgAlle,28,"@theanimarium9612 we can still get on with vpn no problem, it's not completely banned. the thing is youtube is not some platform that mainland chinese people use regularly anyway, so most of time people are not interested in getting on here. we use bilibilli and weibo etc. to watch videos.",@theanimarium9612我们仍然可以继续使用VPN，这不是完全禁止的。问题是，YouTube并不是中国大陆人们经常使用的平台，因此大多数时候人们对进入这里不感兴趣。我们使用Bilibilli和Weibo等观看视频。
42318,UgyM-ejHSy0j2UMeM214AaABAg,27,this how chinese became super power .i like your dedication .appreciated,这是中国人的超级力量。我喜欢你的奉献精神。
28382,UgwAmh9mwbsNn2MrK6F4AaABAg.8y_gWQmCqaX8yzMsQarWK1,27,the wisdom of the chinese and the hard-working hands,中国人的智慧和勤奋的手
49826,Ugys_wXtzKAaP1ppMLF4AaABAg,27,happy chinese new year,春节快乐
42797,UgysGxgQ5Ehy45ioJZ14AaABAg,25,the best heir of traditional chinese culture,中国传统文化最优秀的继承人
23258,UgzEyufNY8lG5ZuyQOZ4AaABAg,24,"when i was a kid, my grandma make these snacks as important festivals are coming, especiallty in chinese spring festival.",当我还是个孩子的时候，我的祖母将这些小吃随着重要的节日即将到来，特别是在中国春节中。
47682,UgxVLaRdVsKdAsuwfEN4AaABAg,24,"happy chinese new year,,,
gong xi fat cai,,,","农历新年快乐
Gong Xi Fat Cai ,,"
21033,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94JLPWyaBNl,24,nolan beatrolyn this woman is chinese you dumb fuck.,诺兰·比阿特罗（Nolan Beatrolyn）这个女人是中国人，你愚蠢的他妈的。
51350,Ugzr-KAy15lIgbdS19p4AaABAg,24,happy chinese new year! happy new year of the world,Happy Chinese New Year! 祝全球华人新年快乐
17608,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982DXstbU_V,24,"@heardistance i have no idea about other chinese area's rural life but in sichuan, more specifically, the countryside area around chengdu, the environment, the village, the landscape and the lifestyle, the food are pretty much the same as what they showed in ziqi's video. i know it because i also come from this area. i agree with it looks too perfect but why it can not even look perfect? she works really hard and shares with us how beautiful and how peaceful life can be...why would she show how sad she is how realistic and shitty the life look like? it doesn't make sense. i guess you have some wrong identifications of this channel or you just misunderstand what things she would like to share us about. it's like doing a project, your boss gives you an appraisal and says ok, it's well done but looks too perfect so it's fake it's impossible....hmmm. i don't think anyone will give any appraisal like that. and this channel is not a documentary about recording how poor chinese people are in china. i would suggest you can look for those videos from bbc or cnn or anywhere on youtube, online etc. i am sure there are a lot of videos or whatever news will keep rising your doubt about the reality of ziqi's video.",@heardistance我不知道其他中国地区的乡村生活，但是在四川，更具体地说，是成都周围的乡村地区，环境，村庄，景观和生活方式，食物与他们在Ziqi中所展示的食物几乎相同视频。我知道，因为我也来自这个领域。我同意它看起来太完美了，但是为什么它甚至看上去都不完美呢？她真的很努力，与我们分享了多么美丽和和平的生活……为什么她会向她表现出多么可悲的生活，这是多么现实和卑鄙的生活？这没有道理。我想您对此频道有一些错误的识别，或者您只是误解了她想分享我们的事情。这就像在进行项目一样，您的老板给您评估，说得好，做得很好，但看起来太完美了，所以这是假的，这是不可能的....嗯。我认为没有人会这样评价。这个渠道并不是关于记录中国人在中国的多么可怜的纪录片。我建议您可以从BBC或CNN或YouTube，Online等任何地方查看这些视频。我敢肯定，有很多视频，或者任何新闻都会不断提高您对Ziqi视频现实的疑问。
27189,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zYEyAklC6G,24,i have a chinese friend and her mother is also like that btw i hope li zizqis happy right now,我有一个中国朋友，她的母亲也像这样，我希望李Zizqis现在快乐
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
12631,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0feMFPjlO,24,hayley hyj you’re going to act like chinese or asians aren’t racist towards us ? wasn’t it your mcdonalds that didn’t allow black peoples in the beginning of covid ? stop acting like everyone else but y’all are evil. there’s plenty black people like me standing up for chinese and asians in general but wrong is wrong and china isn’t all innocent.,海莉·海格（Hayley Hyj）您将像中国人或亚洲人一样行事，不是对我们的种族主义者吗？不是您的麦当劳在库维德开始时不允许黑人吗？不要像其他所有人一样行事，但你们都是邪恶的。总体上，有很多像我这样的黑人代表中国人和亚洲人，但错误是错误的，而中国并不是无辜的。
48021,UgxYP_vQz74x8dPn7id4AaABAg,23,happy chinese new year....love from kerala......,农历新年快乐....来自喀拉拉邦的爱......
46796,UgzbIS4Nqo4EJO8bweJ4AaABAg,23,"i only discovered your videos in youtube. i really have such a life. i just imagined life in the novel. girl, you are really great, not only representing many chinese people, but how to coexist with human beings in harmony with nature, even if human beings are livable in the future, you need your spirit. i am glad to see your video, thank you.
suddenly i thought of the man who met your heart in the future. someone helped you lift your bamboo to make new sofas. some people pick fresh fruits and vegetables with you. one more person at the dining table with you. with cute children, one, two. essence essence then i have always made such a love video for us, oh no, enjoy. essence essence
hope this wish will come true.","我竟然在YouTube才发现你的视频，真的感概还有这样子的人生，只在小说中想象到的人生，姑娘，你真的很棒，不仅代表了华人的许许多多的优秀品质，和文化，甚至代表了人类，要如何与自然和谐共存，即使人类未来宜居其他星球，也需要你这种精神。很高兴看到了你的视频，感谢。
忽然想到了你日后遇到了你心怡的男子，有人帮你抬竹子做新的沙发，有人和你一起采摘新鲜的水果蔬菜，多了一个人在饭桌和你，婆婆谈笑风生，然后不就以后你们有了可爱的孩子，一个，两个。。。然后一直一直做这么有爱的视频给我们看，哦，不，享受。。。
希望这个愿望成真。"
