,cid,votes,含watch,含watch中文翻译
31342,Ugz5Jd8DkC7vmU128sh4AaABAg,18,everytime this girl uploaded new video i see to it that i will watch it after work,每当这个女孩上传新视频时，我都会看到它，我会在上班后观看它，因此在观看视频时放松一下，这是我最喜欢的YouTube频道之一。
15518,UgzON0oBvF-QATs0XeB4AaABAg,17,"the most talented woman youtube, i have a great relaxing feeling when watching her make bamboo shoots.",最有才华的女人YouTube，看着她拍竹射击时，我的感觉很轻松。
20750,Ugy12Ljj8kqERKD9bG54AaABAg,17,i feel at peace with myself while watching these videos.. this video was only 10 minutes long but i felt like i had lived an entire lifetime and now i truly know peace,我在观看这些视频时与自己保持和平。这段视频只有10分钟，但我觉得自己一生都过着一生，现在我真的知道和平
25915,UgxDDqbewBEVqPFraQl4AaABAg,15,"iam a pure vegetarian.
i dont like non vegetarian food but i like to watch her cooking style","我是纯素食主义者。
我不喜欢非素食，但我喜欢看她的烹饪风格"
11156,UgwpptXV-anh0LnkNLJ4AaABAg,15,who is here watching from usa?,谁在这里看美国？
21567,UgwQXJkyej7bOmoRFFJ4AaABAg,15,i'm an esl teacher and my chinese student brought me here. and she's right! you're good and your videos are oddly satisfying to watch.,我是ESL老师，我的中国学生把我带到这里。她是对的！您很好，您的视频很奇怪地观看。
10329,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR99S5JeCHTOa,14,i always do this whenver i'm inspired by someone's channel. and so far i watched all her ads as a way of thanks for her.,当我受到某人的频道启发时，我总是这样做。到目前为止，我看了她所有的广告，以感谢她。
30525,UgwWXLtdOOwGqk72CvF4AaABAg,14,"i watched as a budo-film, this is amazing! #?",我看着Budo-Film，这太神奇了！ ＃？
13354,UgyTPPiVkGNGZRNt4EB4AaABAg,14,"a mysterious video that you can watch for some reason
does human life say this kind of thing?","您可以出于某种原因可以观看的神秘视频
人类的生活说这种话吗？"
8566,Ugy6kUOOslDOOMFRTUh4AaABAg,14,"i didn't even watch the content, just closed my eyes and listen to the music and the sound of her activities brought peace to my mind. great video by the way.",我什至没有看内容，只是闭上了眼睛，听音乐和她的活动的声音使我想到了和平。顺便说一句，很棒的视频。
28594,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g9-_XrMeEUx0,14,"@franzpeters3824 guess you are jealous of her because she doesn't speak english yet got so many subscribers who speak english. go learn how to be person, you don't deserve to watch her videos.",@franzpeters3824猜猜你嫉妒她，因为她不会说英语，但有这么多英语的订户。去学习如何成为人，您不应该观看她的视频。
3397,UgwuJPc2TAvaUVPNXYh4AaABAg,13,"watching li ziyi's video, i can feel the unique charm of nature. i feel very good. it is a pleasant enjoyment!",看李子柒的视频，能感觉到大自然的独特魅力，心情非常好，是一种心旷神怡的享受！
12518,Ugz80ivmyIbHXgQYwCV4AaABAg.96a7oIarqd-96kFa-YIcoL,13,@peteg9133 corona is not caused by eating wild animals. you d better watch the latest news.,@peteg9133电晕不是由吃野生动物引起的。您最好观看最新消息。
21901,UgyOWieKeWPiYliIVe14AaABAg,13,me : eating oreos and watching a video that i will forget later,我：吃奥利奥和观看视频，我稍后会忘记
15135,UgyTaBRx99jh5K3cUtN4AaABAg,13,watching as i eat my microwaved dinner and weep,看着我吃微波炉的晚餐和哭泣
28417,UgwG7Dn9W9JLhCX-ddp4AaABAg,13,"she lives in harmony with nature ....
me ...i watch in youtube..dam i'm usless","她与自然和谐相处。
我...我在YouTube看。"
32215,Ugw9H7Z3gEQGaadYb9t4AaABAg,13,woke up at 4:40am and watched this amazing video. now i go back to sleep. it's so satisfying.,凌晨4:40醒来，观看了这个惊人的视频。现在我回去睡觉。真是令人满意。
27654,UgwFV-nELZzCVufZkxl4AaABAg,12,watching you make food makes me so hungry! even the snail soup looks sooo good and i don't even like snail!,看着你让食物让我如此饿！甚至蜗牛汤看起来都很好，我什至不喜欢蜗牛！
10655,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU7993jSt_c0nn,12,"below your comment, this guy @马xe, is one of those who doubt ziqi's videos' reality and firmly believe she has a large group of ppl who help her and train her do all those stuffs. he's one of those haters. i don't know why do they have to say words like this. maybe they are just so jealous. ziqi has pushed another video to explain how did she shot, edit videos and of course farm and cook nearly all by herself(https://www.youtube.com/watch?v=ovoslq-aep8). i just want to remind each ppl with kind heart who watch ziqi's videos. just don't believe every single word of those haters. i was a photographer, i know some techniques of shooting. i can notice some flaws in her video just as she mentioned in the link above, however i choose to ignore them because the entire video is soooo perfect. if she had a group of professional ppl who help her, those mistakes would never happen....definitely.",在您的评论下，这个家伙 @马XE是怀疑Ziqi视频的现实的人之一，坚信她有一大批PPL，可以帮助她并训练她做所有这些事情。他是那些仇恨者之一。我不知道为什么他们必须说这样的话。也许他们真嫉妒。 Ziqi推出了另一个视频，以解释她如何拍摄，编辑视频和当然的农场，并几乎独自烹饪（https://www.youtube.com/watch?v=ovoslq-aep8）。我只想提醒每个PPL，善良的心观看了Ziqi的视频。只是不要相信那些仇恨者的每个单词。我是摄影师，我知道一些射击技术。就像她在上面链接中提到的那样，我可以在她的视频中注意到一些缺陷，但是我选择忽略它们，因为整个视频非常完美。如果她有一群专业人士帮助她，那么这些错误就永远不会发生。
23700,UgxkeTUrJQ781yZxNZV4AaABAg,12,i always feel cleansed inside when i watch this beautiful woman work.,当我看着这个美丽的女人作品时，我总是会在里面感到清洁。
21289,UgzyP0u-lDnKaiz3kxB4AaABAg,12,it's like watching harvest moon comes to life.,就像看着收获月亮栩栩如生。
26386,UgyDmuaXruu8Ia2TLwV4AaABAg,12,i can't live without watching ds chennel evry episode mke me smile it's jst awesome!,我不能看着DS Chennel Evry情节Mke Me Smile，JST真棒！
20274,UgxEAL69eQnciWfKj9N4AaABAg,12,whenever i see her cooking.. i feel hungry even if i had eaten just few minutes before watching..,每当我看到她做饭时。
31527,UgzJbm-6nAKoo1xOTRt4AaABAg,11,i was watching the english translation and when she cracks the eggs it translated to human eggs,我正在看英文翻译
22038,UgztiZZZoBRktyO5ITR4AaABAg,11,"when the first time i see a video like this.i was so stressed then i feel free when i watch this!
like if u feel the same","当我第一次看到这样的视频时。
就像你有同样的感觉"
32025,UgwaJkkIiTT3KCcCCtZ4AaABAg,11,"if it's possible i wanna visit this beautiful place 
wonderful place guys!!
everytime i watches her videos i too get to have love for the place apart from organic foods ♥️","如果有可能，我想参观这个美丽的地方
很棒的地方的家伙！
每当我观看她的视频时，我也都会爱上这个地方，除了有机食品♥️"
16431,Ugy-3nMzYcYNOPDOuDx4AaABAg,11,oh so that’s how bamboo shoots look like in real life i remember there was a cartoon show i used to watch called like heroe 108 or something like that and i remembered there was a character who used bamboo shoots as a weapon and i always thought they were delicious,哦，这就是现实生活中的竹芽的外观可口的
24418,Ugx-NRboIJDZ8Wkjka54AaABAg,11,that granny is lucky to have such a caring granddaughter. so peaceful to watch it.,那个奶奶很幸运有这样一个有爱心的孙女。如此宁静地看着它。
5404,UgyEUGjgz3If7omZWFJ4AaABAg,11,an example of how to live right with nature. plus delightful traditional chinese dishes! everyone should watch liziqi.,如何与大自然生活的一个例子。加上令人愉悦的传统中国菜肴！每个人都应该观看Liziqi。
5423,UgzopX7Yr44Dc0Gv2cZ4AaABAg.9GVsPeHCDNu9HWYq9jM6is,11,"i was born in 1980s, we used that type of knife too.
i was watching my dad using that knife to chop woods into pieces.
my dad told me to stand far away because the pieces flying out sometimes.
i listened to him watching from afar and got hit in the head.

i grew up seeing people doing everything like li ziqi does except we didnโ€t have that many things in our garden.
i miss the old days, no industrial products.
my dad made my bed, my pillow, blankets and toys.
he was a carpenter and he could make cloths too.
in facts, except for textile industry, we didnโ€t have any other manufacturing companies in vietnam back then.","我出生于1980年代，我们也使用了这种刀。
我看着父亲用那把刀将树林切成碎片。
我父亲告诉我站在很远的地方，因为有时会飞出。
我听他从远处看着他，被击中了头。

我长大后看到人们像李齐（Li Ziqi）一样做所有事情，除了我们在花园里没有那么多的东西。
我想念过去，没有工业产品。
我爸爸做了我的床，枕头，毯子和玩具。
他是木匠，也可以制作布。
实际上，除纺织行业外，当时我们没有其他制造公司。"
6830,Ugyo3IIeBR37EZYBiWl4AaABAg,11,"i swear to god, everytime i watch her vids, it makes me feel like my life is literally a joke. like literally!!! 





well, if i think about it, its not totally wrong though!๐๐๐๐ข๐ข๐ญ๐ญ๐ญ๐ญ","我向上帝发誓，每当我看着她的视频时，这都会让我觉得我的生活实际上是个玩笑。就像字面上！！！





好吧，如果我考虑的话，那不是完全错！"
29106,UgzxhBZ9r-Ug4yKsHm54AaABAg,11,"who planted all of the massive fields? was it her family alone over the years, i wonder? every plant & shrub looks so healthy & green! the weather for growing must be perfect there. she never has a recipe or guide, just does from memory! ♥️ to watch her busy days.",谁种植了所有大型领域？这些年来，这是她一个人的家人吗？每种植物
10905,UgyrqNFUsCUI5_HcrwF4AaABAg,11,"this is the first time i’m watching this! besides her cooking ,the camera work is just so perfect",这是我第一次看这个！除了她的烹饪外，相机的作品是如此完美
