,cid,votes,time,含channel,含channel中文翻译
33780,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w3nGAB506y,9,4 years ago,"capitalism isnโ€t the problem here, itโ€s peopleโ€s greed that turn them for the worst. success isnโ€t a bad thing, but overdosing on it is. so as you sit in your retail chair, you wonder what life would be if t were so simple, if it werenโ€t what it is now, thatโ€s why you admire this channel.",资本主义不是这里的问题，而是人们的贪婪使他们陷入最糟糕的情况。成功并不是一件坏事，但对此过量是一件坏事。因此，当您坐在零售椅上时，您想知道如果T如此简单，如果不是现在，那将是什么生活，这就是为什么您欣赏此频道的原因。
4738,Ugz8yCdS1KCbUmZyjXR4AaABAg,8,1 year ago,hands down my most favourite channel ever! you are amazing!,放下我有史以来最喜欢的频道！你很棒！
10117,UgyMwM5bYdRNTy8JfK94AaABAg,8,2 years ago,"omg this channel is so precious!! also the video quality, cat oven and food are amazing!! so happy this got recommended to me!!",天哪，这个频道是如此宝贵！！视频质量，猫烤箱和食物也很棒！很高兴这对我推荐了！
27219,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zrRZVdR8Nr,8,3 years ago,"@tungstenwhizard4361 she did her one an only interview with, i think goldthread channel. i saw the interview where she spoke of her life.",@tungstenwhizard4361她认为她是唯一的一次采访，我认为戈德雷德频道。我看到了她谈到自己一生的采访。
36740,UgzPktXGEwldoHv7SPt4AaABAg,8,4 years ago,"it is so cute and pacifying!
autumn is a warm channel!)","它是如此可爱和安抚！
秋天是一个温暖的频道！）"
45751,UgyWa7oZYQY9RFe3Tdl4AaABAg,8,4 years ago,this has come across a dangerous channel again. the best.,这再次遇到了一个危险的渠道。最好的。
43714,UgxNzJ6PZiQymaiNV3R4AaABAg.8rIvoP8deLE8rU0DkTWY-o,8,4 years ago,"ar khey she hired a filming and editing team after the channel became popular. before that, everything was done by herself. yes, the place was her hometown and she returned to her born place and stayed with her granny after a couple of years of city life in chengdu. no doubt that everything was real.",Ar Khey在频道流行后，她雇用了一支拍摄和编辑团队。在此之前，一切都是自己完成的。是的，这个地方是她的家乡，她回到了出生的地方，在成都多年的城市生活后与奶奶住在一起。毫无疑问，一切都是真实的。
24123,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92LvEmVmKWD,8,3 years ago,"@user-vy8dt6de7k is different? you exaggerate china to try, do you see which two videos in xinjiang are not restricted? see how many of the channels for watching the video have been beaten! moron! don't be shameful! i thought there was a free world outside the wall, ah, nausea and death. gun",@user-vy8dt6de7k 不一样？你夸夸中国试试，你看看新疆那俩视频哪个不被限流？看看观视频的频道有多少被打❌了！脑残！别出来丢人现眼！还以为墙外就是自由的世界呢，啊呸，恶心死
7918,UgzoUQoWcVWetJA_vx14AaABAg,7,2 years ago,most subscribers for a chinese language channel on youtube! congrats,YouTube上汉语频道的大多数订户！恭喜您应得的！
46647,UgznRayRv0aCLiZInI54AaABAg,7,4 years ago,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
37143,UgxAcnyYFgvVZavwteB4AaABAg,7,4 years ago,"what a beautiful life, thanks for this type of channels full of peace.",多么美好的生活，感谢这种充满和平的频道。
20877,Ugxs3jNZKwOTa-xYbZp4AaABAg,7,3 years ago,this is probably the most wholesome and beautiful channel i'll every find.,这可能是我每个人都会发现的最健康和美丽的频道。
10091,Ugz9teFE6G-_fbzLTEV4AaABAg.9GS8QbE7mJ29GWpcrYFt1V,7,2 years ago,"@tubaamirichannel6890 she now only has one cameraman and one assistant. before, it was only her. some people really are skeptic. they've never seen such capable women before.",@tubaamirichannel6890她现在只有一个摄影师和一名助手。以前，只是她。有些人真的很怀疑。他们以前从未见过这样的有能力的女人。
36435,Ugw5-pBnxivmknzqY5F4AaABAg,7,4 years ago,"i'm loving your channel.
what a blessed life! ๐’
kisses.
patricia from brazil ๐ด","我爱你的频道。
多么幸福的生活！ 
吻。
来自巴西的帕特里夏"
50144,UgzEHSiaj3OJWe_WsnN4AaABAg,7,4 years ago,i am thailand. i love your channel a lot.,我是泰国。我非常喜欢你的频道。
23721,Ugwgw7HlaQtHsM5oVQx4AaABAg,7,3 years ago,"may god be pleased with her channel, the length of what i see the benefit, smiling, feeding optical + simplicity + natural, i adore the atmosphere of the countryside",愿上帝对她的频道感到满意，我看到的好处的长度，微笑，喂食光​​学 +简单 +自然，我喜欢乡村的气氛
33377,Ugwj38IOnd26urpGOgl4AaABAg,6,4 years ago,"fortunately i found your channel , i love your simplicity and the way how you deal with these stuffs, i mean if i had a woman like you i would be the happiest dude ever ๐’",幸运的是，我找到了您的频道，我喜欢您的简单性以及您如何处理这些东西的方式，我的意思是，如果我有一个像你这样的女人，我将是有史以来最快乐的家伙
10872,UgxInEwtcSoZG8S0m-V4AaABAg,6,2 years ago,"pictures come to life in the dark ๐ it is necessary to see this, go to the channel ๐ subscribe ๐””ware
for ๐ฅpasibo ##ornuli","图片在黑暗中栩栩如生
对于pasibo ## ornuli"
28892,UgyRW2uW7aCyVCo0Ubd4AaABAg,6,3 years ago,"i love her videos
i love how aesthetic is her garden,house, everything...
how cute her animals are
and i love that she is not using modern things.. i love how she doing it like in the really old old old life... i just love her channel! โค๏ธโค๏ธ","我爱她的视频
我喜欢她的花园，房子，一切的美学...
她的动物有多可爱
我喜欢她不使用现代事物。我喜欢她在真正的旧生活中的样子……我只是爱她的频道！ ❤️❤️"
35402,UgyIlNkDFoFy949wgSV4AaABAg.8uf_EUKhc8j8vBK2R4o7LO,6,4 years ago,@baddoggi4238 if you click on vegan dolls channel and watch her videos.. you will see she is quite disturbed ๐‘,@baddoggi4238如果您单击纯素娃娃频道并观看她的视频。
23803,Ugzuo0H-2DBz_BDukiR4AaABAg,6,3 years ago,"omg your kitty cat oven is so cute, i have never seen anyone else.with such an outdoor oven. you should sell those from your channel.",天哪，你的小猫猫烤箱是如此可爱，我从未见过其他人。您应该从频道出售这些东西。
8620,UgyVb141-diyWkUbJst4AaABAg,5,2 years ago,i found a nice channel ☺️,我找到了一个不错的频道☺️
19908,Ugy0BJf2QC14ZTtYOY94AaABAg,5,3 years ago,"hi.liziqi :) i'm korean.
youtube channel is 'lizmano'

it is similar to the korean holiday.
daeboreum, the first full-moon day (the15th day of the first month of the lunarcalendar) .

don't forget that i am always behind you","嗨，liziqi :)我是韩国人。
YouTube频道是“ Lizmano”

它类似于韩国假期。
Daeboreum，第一个全月（第一个月的15天）。

别忘了我一直在你身后"
43312,UgxjOB6RwBRjXfPPwed4AaABAg,5,4 years ago,i'm so glad that i've found this channel by chance. i'm in love with it,我很高兴我偶然发现了这个频道。我爱上了它
17446,UgyW8wp3zE8cFwo0rd14AaABAg,5,3 years ago,"this is the ""harvest moon' live action 

i'm soooo glad finding this channel","这是“收获月亮”的现场动作

我很高兴找到这个频道"
21304,UgxPcksqPb4NsTSSq2x4AaABAg,5,3 years ago,"how sweet, this girl is so simple, beautiful and inspiration for many. the content of this channel is spectacular. keep up the good work.",多么甜蜜，这个女孩是如此简单，美丽和灵感。该通道的内容非常壮观。保持良好的工作。
52377,UgwerG88TkAdWUjP6m54AaABAg,5,4 years ago,"i love your channel , from turkey",我爱你的频道，来自土耳其
7103,Ugzb2_PMojp7ZBkz4KR4AaABAg,5,2 years ago,"okay, don't worry about li ziyi ❤️ i will always support you. since you create this channel, i have always been your loyal fan. it has been a few years, i really like you, and i know that you are a very beautiful woman who is very friendly to you and has a very beautiful woman li ziyi ❤️ do n’t worry. before you achieve greater success, i will always support you, i wish you success, a beautiful lady from china li ziyi ❤️ i am your indonesian fan. i hope you can be a stronger woman, don't be afraid :) i will always support you, i am your indonesian fan, i am your indonesian fan, bleak
continuous success li ziyi ❤️","好的，不用担心 李子柒 ❤️ 我会一直支持您，从您创建这个频道开始，我就一直是您的忠实粉丝。已经有几年了，我真的很喜欢您，而且我知道您是个很漂亮的女人 对你很友善有一个很漂亮的女人 李子柒❤️ 不用担心，在您取得更大成功之前，我会一直支持您，祝您成功，一位来自中国的美丽女士 李子柒❤️ 我是您的印尼粉丝，希望您能成为一个更坚强的女人，不要害怕 :) 我将永远支持你，我是你的印尼粉丝，
持续的成功 李子柒❤️"
