,cid,votes,含channel,含channel中文翻译
28216,UgzvUXzlx4Hpc_AfBAB4AaABAg.8yZtNJOZ_7p8yhB1RxSBn1,2,this channel earns a few million usd a year.,该频道每年赚取几百万美元。
25845,Ugy-SmlS4dE1x6SlzEx4AaABAg,2,thanks to the game grumps for shouting out this channel. i am absolutely mesmerized!,多亏了游戏的脾气暴躁，大声喊叫了这个频道。我绝对令人着迷！
32821,Ugz3wSiuNu2iWAiw80B4AaABAg,2,"i bet her life is so peaceful... yet again she is a great role model for all of us in this materialistic world...
proud of her..... i thank youtube for recommending this channel to me..","我敢打赌，她的生活是如此和平...在这个唯物主义世界中，她对我们所有人都是一个很好的榜样...
为她感到骄傲.....我感谢YouTube向我推荐此频道。"
827,UgxTmj_ofeSXahyJ8RF4AaABAg,2,"i am very happy for the enthusiastic audience of this channel. i'm watching this li ziyi channel, from 5 million subscribers to 17 million now .. it's great

i am your fan five years ago","我为这个频道的热情观众感到非常高兴。我在看这个李子柒频道，从订阅人数还是500万到现在1700万..太棒了 

我是你五年前的粉丝"
31128,Ugw2WElkzBoP_jXGvpJ4AaABAg.8yVLRYLxVO88yWU9kpHyNX,2,designq q thank you!! i’ve been cooking a lot of thai food lately but would love to try making many of the things i see here as well. i’ll look into that channel. thank you very much!,Designq Q谢谢！我最近一直在烹饪很多泰国食品，但很想尝试制作我在这里看到的许多东西。我将研究该频道。非常感谢！
26224,UgyZb8kCOL9qBR67lDd4AaABAg,2,"i love watch this channel 
everything she cook looks delicious","我喜欢看这个频道
她煮的一切看起来很美味"
10696,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79JKoOpUYA8b,2,"agreed, modern life is full if toxic that it makes this channel feels so peaceful and mesmerising.",同意的，如果有毒使这个频道感觉如此和平与迷人，那么现代生活就充满了。
30255,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38zdDzwPWDpL,2,are you too stupid this channel is communist china produced propaganda? wakeup!,您太愚蠢了这个渠道是共产主义中国引起的宣传吗？醒来！
5984,UgxkTI4XZDH1im4hCRt4AaABAg,2,one of the reasons why i sooo love this channel is because it reminds me of my childhood. i remember we had bamboo plants in our backyard and my parents would cook the best bamboo shoot in coconut milk on earth! ๐ฅฐ,我如此喜欢这个频道的原因之一是因为它使我想起了我的童年。我记得我们的后院有竹植物，我的父母会在地球上用椰奶烹饪最好的竹芽！
16173,Ugy-FccejDO8hbb2ind4AaABAg,2,my fevt channel forever love from india,我的Fevt频道永远的爱来自印度liziqi❤
14351,Ugz8N3OK0QLpRqYYWSN4AaABAg,2,"feel like i'm watching a studio ghibli movies, gotta love this channel",感觉就像我正在看吉卜力录音室电影一样，必须喜欢这个频道
9139,UgxfZGWrlWvdO6E-l814AaABAg.9APD1y8AgAS9BemZY__yxp,2,true. i legit thought that this channel posts clips of old chinese movies. excellent cinematography.,真的。我合法认为此频道发布了古老电影的剪辑。出色的摄影。
20875,UgzvyEjEE1O8ftvSau54AaABAg,2,"love your channel, it’s very inspiring! ❤️",热爱您的频道，这是非常鼓舞人心的！ ❤️
19226,UgzZ9c1X8JxaIjIQREF4AaABAg,2,"this is so beatiful, so well made, with that much care... it’s hard not to fall in love with this channel.",这是如此可爱，制作精良，非常关心……很难不爱上这个频道。
242,Ugyts1tRl-YCNdJm_Bp4AaABAg,2,why do you not upload a new video in your youtube channel,为什么您不在YouTube频道上上传新视频
11209,Ugy-fIDKsGePUGZQrA94AaABAg,2,"i love her channel, it's so peaceful and really shows us how life without being on our phones and stuff is so beautiful. does she speak english?",我爱她的频道，它是如此的和平，并确实向我们展示了不在我们的手机和东西上的生活是如此美丽。她会说英语吗？
3474,UgxpvHiJlyxoU-CdJsd4AaABAg,2,"hello i am brazilian and i really like your channel but i would love to understand what you are doing, the name of the food, i find it amazing how you do everything as if it were art",你好，我是巴西人，我真的很喜欢您的频道，但我很想了解您在做什么，食物的名字，我发现您如何做所有事情，好像是艺术
17912,UgwunEBEht1UwcutFGt4AaABAg.92eJivXhhyf92inW97ckct,2,brittany scott can i pls subscribe to my youtube channel pls i need support,布列塔尼·斯科特（Brittany Scott），我可以订阅我的YouTube频道PLS
19407,Ugy8gTb4K79944KAlMV4AaABAg,2,see this channel too late! then you are so beautiful ...,太晚看到这个频道了！然后妳好漂亮....
28301,UgyB4PQ5TmL1C1BlAuh4AaABAg,2,"i watch this channel to heal myself. the best channel there is, on youtube. love the sound of the spatula on the wok. peaceful cuisine comes a close second.",我看着这个频道以治愈自己。最好的频道是YouTube上的。喜欢炒锅上的刮刀的声音。和平美食紧随其后。
13153,UgytFdIOGLrtnkYGfah4AaABAg.95xI76s2uBE96Jqha3aYu6,2,she has a team now her channel is so big,她现在有一个团队，她的频道太大了
20384,Ugw7pGsUEzc0By-mJlx4AaABAg,2,this is so satisfying..i need to do this in my channel too. so beautiful to watch,这是如此令人满意..我也需要在我的频道中执行此操作。如此美丽看
8214,Ugy41zkNYu0P5pyhZ-J4AaABAg,1,superhttps://www.youtube.com/channel/ucugwuriwozxqywxknvtvxfg,superhttps：//www.youtube.com/channel/ucugwuriwozxqywxknvtvxfg
17246,Ugwi3adqtrcDQhP6nfF4AaABAg,1,i'm from india trust me this channel teaches me many things and this is the best best channel ever..,我来自印度，这个频道教我很多东西，这是有史以来最好的频道。
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
29044,UgxrxlDmInXxSqPwncJ4AaABAg.8yXxwnokw6P8yeZeHuJ1td,1,"@user-ye9jx1lh6y lisiqi channel, the girl grew up with her grandmother, left for the city, returned because the grandmother was bored, the girl returned, but shooting the video and video beautiful, i would be able to do everything, i would be glad !!!",@user-ye9jx1lh6y lisiqi频道，女孩和她的祖母一起长大，离开了这座城市，因为祖母很无聊，女孩回来了，但是拍摄了视频和视频美丽，我会做的一切，我会做的一切，我会是我高兴的 ！！！
28104,UgzQcs09dVWjTG4QDBF4AaABAg.8y_QqzYH1K78ydv8Z1tkRO,1,"i’m an indian too, love her channel, it’s beautiful just like our lovely north east. happy independence day!",我也是印度人，喜欢她的频道，就像我们可爱的东北一样美丽。独立日快乐！
19929,UgxyvgGJedtoZuG99Xh4AaABAg,1,it's been long now i'm stuck on youtube......seen soo many cooking channel....first time watching this....this is the best... love it,现在已经很久了，我被困在YouTube上...看到了很多烹饪频道。
8961,UgzRpUnUA_arincKnI14AaABAg,1,my favorite channel in the whole youtube.,我整个YouTube中最喜欢的频道。
20197,UgwSRCt7SIMPK_GrSNZ4AaABAg,1,you cook like a great artician. wow. i can learn alot of recipe where no oil is used on your channel.,你像一个伟大的艺术家一样做饭。哇。我可以学习很多食谱，其中您的频道上不使用油。
7807,UgzAteeMNAWSKJ6BXF14AaABAg.9COITMisQf39DB09Px9DLJ,1,support my youtube channel,支持我的YouTube频道
