,cid,votes,time,含village,含village中文翻译
20174,UgxvCsElDGKoQrQ6lHJ4AaABAg,0,3 years ago,i'm wondering if she can do something to find a cure from that village for corona?,我想知道她是否可以做些事情来从那个村庄找到Corona的治疗方法？
20594,UgzwTCdbEmh3g3019154AaABAg,0,3 years ago,i love our videos...from a small village in india.....u r so active...ur grandma is so cute...,我喜欢我们的视频...来自印度的一个小村庄.....你是如此活跃...你的祖母真可爱...
21056,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9KQ4O-ZxwL7,0,2 years ago,"@padoumusic abe dhakkan show me a single villager / farmer with this much makeup on and such fancy dress .....farming needs hard work ..its common sense ..and i didnt use the word ""beautiful"" ..i said ""makeup"" and farmers /villagers have natural beauty ..u need to know the difference ..use some common sense bfr commenting",@padoumusic abe dhakkan向我展示了一个村民 /农民，妆容如此多，这是这样的花式礼服.....农业需要艰苦的工作..它的常识。化妆”和农民 /村民有自然的美丽.. u需要知道差异..使用一些常识BFR评论
21245,Ugw4yIdUvfN_FCAR0Bt4AaABAg,0,3 years ago,damn i wan to live rest of my life in this village,该死的我想在这个村庄生活
21404,UgzGnkwxiM3U9RWyKt14AaABAg,0,3 years ago,reminds me of village life with my oma&opa in the blackvforest germany who were a whole generation behind their time. they used to make everything themselves. i remember the joy of cooking and baking together for family festivals of 40 people up until a few years ago. now they've passed away and we do much less for our family clan gatherings.,让我想起了我在黑弗斯特德国的Oma＆Opa的乡村生活，他们是当时的一代人。他们曾经自己做一切。我记得直到几年前，烹饪和烘焙的乐趣。现在他们已经去世了，我们为我们的家庭氏族聚会所做的少得多。
21627,UgxarPX3wesNn8dE0Hl4AaABAg,0,3 years ago,china great pass! do you dare to let the real chinese village look like? world tumor! like north korea! just show the world to show you what they want to give you!,中国大外宣！敢放真实的中国乡村样子吗？世界毒瘤！跟北朝鲜一样！只给世人看他们想给你看的！
24411,UgwOf6w-3B0G5lTlXrt4AaABAg.918XT3wjZr092dlIVpfOAV,0,3 years ago,"preeti k of course, her grandmother and the villagers",Preeti K当然是她的祖母和村民
21639,UgxarPX3wesNn8dE0Hl4AaABAg.93SH0BGAXs393TUdMv8TUd,0,3 years ago,"like north korea, i am foolish, won't you let you enter the village? don't let it be seen? youku tudou has many videos in various platform villages. do you not let you watch it? you are just a spray that deliberately discredit",还和北朝鲜一样，傻逼，村里不让你进了吗？不让看了吗？YOUKU TUDOU各种平台村里的视频多的是，不让你看了吗？你就是个故意抹黑的喷子
21679,UgyBkCzfB8Dqq0wDVu94AaABAg,0,3 years ago,"omg, look like a dream villages",天哪，看起来像一个梦想中的村庄
22201,UgwI6L7EUPwilX6f7_V4AaABAg,0,3 years ago,"the cinematography and storyline are amazing to watch. sheโ€s such amazing skill and hardworking to me. i once visited a village area and barely survived. ๐คญ๐คญ so much work to prepare for the food i ate such as plucked the chicken feather before cooking, or chopped the cassava tree to make stem cassava. 

i truly admire her and her work","摄影和故事情节令人惊叹。她对我来说是如此出色的技巧和勤奋。我曾经参观过一个村庄，几乎没有幸存。 

我真的很佩服她和她的工作"
22237,Ugz2SEc757W6E4P-MIx4AaABAg.931JFxIKjY3931rxBv_Zfz,0,3 years ago (edited),people who living in village tends and love to sharing foods with neighbours and sell some of it in the nearer town/market. 8:00,居住在村庄的人们倾向于与邻居分享食物，并在近乎城镇/市场上出售其中的食物。 8:00
22633,UgyNtoEik4MxwMKEOl54AaABAg,0,3 years ago,"it reminds me so many memories while i am still a child living in a small chinese village. those scenes, fruits, traditional food and equipment could be seen in that time. people carries them walk through villages to earn little money for a simple living, send their children to school with the money, they sell sugar, popcorn to kids play on the open ground, feel like spring festival.......but now, we are surrounded by enormous commodities, yet we never feel that kind of happiness when we put a small sugar into our mouth",当我还是一个住在一个中国小村庄的孩子时，它使我想起了很多回忆。在那个时候，可以看到这些场景，水果，传统食品和设备。人们带着他们走过村庄，赚了很少的钱来以简单的生活，将孩子们送去上学，他们出售糖，爆米花给孩子们在开放的地面上玩，感觉就像春节........但现在，我们被巨大的商品所包围，但是当我们将小糖放入嘴里时，我们永远不会感到幸福
22806,UgxoRevyrAUODS83_ph4AaABAg,0,3 years ago,well i love this girl she inspired me so much with madness that she beauty ... of the village woman full of energy and love for work bravo ... my love of tunisia ๐น๐ณ,好我爱这个女孩，她疯狂地激发了我的启发，以至于她的美丽……充满活力和热爱工作的乡村女人...我对突尼斯的热爱
23505,UgyQ3juM3-h-qV99kvx4AaABAg.92Kx0mL2X2q92Xi7UmzJkJ,0,3 years ago,"don't, the village is dark, the mobile phone signal will definitely not be good, there are many mosquitoes at night",别，一到晚上村子黑漆漆的，手机信号肯定不会好，夜晚蚊子多
23899,UgzN36PZzuOygNMv-AN4AaABAg.91xcAWTLk7V92ILv_I4TZ_,0,3 years ago (edited),"this is a village in china, its name
sichuan mianyang","这是中国的一个村庄，其名称
四川山"
23973,UgyPaXQCdUPlj0QJuKF4AaABAg,0,3 years ago,the food stock can feed a village,食品储备可以养活一个村庄
24005,UgxJeHRkZd9eFMJbCoN4AaABAg,0,3 years ago,li ziqi shows us what the ideal chinese countryside life but we have to be aware that this is not what small villages in china looks like.,李齐（Li Ziqi）向我们展示了理想的中国乡村生活，但我们必须意识到这不是中国小村庄的样子。
52863,UgyPtSCSjH1mCfKP52x4AaABAg.8qlJlbWN48C8qlQynFjSX3,0,4 years ago,"i was working in bali if i saw vid, he missed his hometown in magetan under mount lawu which was cool but he was cooler because the vegetable fruit in the village was not in him just picking",我在巴厘岛工作，如果我看到vid，他错过了在劳图山（Mount Lawu）下的玛格坦（Magetan）的家乡
